panel,panel_order,category,category_order,value
location,1,US,1,0.64
location,1,Germany,2,0.12
location,1,Japan,3,0.04
location,1,Poland,4,0.03
location,1,UK,5,0.025
location,1,France,6,-0.06
location,1,Sweden,7,-0.16
location,1,China,8,-0.17
location,1,Italy,9,-0.28
location,1,Portugal,10,-0.34
location,1,India,11,-0.39
location,1,Greece,12,-0.49
origin,2,US,1,0.49
origin,2,Germany,2,0.29
origin,2,France,3,0.25
origin,2,Switzerland,4,0.25
origin,2,UK,5,0.23
origin,2,Denmark,6,0.08
origin,2,Sweden,7,0.07
origin,2,Holland,8,-0.01
origin,2,Finland,9,-0.06
origin,2,Japan,10,-0.11
