panel,order,x,width,value,error,label
hist-short,0,45,8.0,2.0,,
hist-short,1,54,8.0,5.0,,
hist-short,2,63,8.0,12.0,,
hist-short,3,72,8.0,25.0,,
hist-short,4,81,8.0,70.0,,
hist-short,5,90,8.0,48.0,,
hist-short,6,99,8.0,25.0,,
hist-short,7,108,8.0,62.0,,
hist-short,8,117,8.0,86.0,,
hist-short,9,126,8.0,88.0,,
hist-short,10,135,8.0,96.0,,
hist-short,11,144,8.0,305.0,,
hist-short,12,153,8.0,8.0,,
hist-short,13,162,8.0,10.0,,
hist-short,14,171,8.0,18.0,,
hist-short,15,180,8.0,52.0,,
hist-short,16,189,8.0,9.0,,
hist-short,17,198,8.0,5.0,,
hist-short,18,207,8.0,4.0,,
hist-short,19,216,8.0,3.0,,
hist-short,20,225,8.0,2.0,,
hist-short,21,234,8.0,2.0,,
hist-short,22,243,8.0,8.0,,
hist-short,23,252,8.0,2.0,,
hist-short,24,261,8.0,1.0,,
hist-short,25,270,8.0,28.0,,
hist-short,26,279,8.0,2.0,,
hist-short,27,288,8.0,1.0,,
hist-long,0,745,9.0,0.0,,
hist-long,1,755,9.0,0.0,,
hist-long,2,765,9.0,0.0,,
hist-long,3,775,9.0,1.0,,
hist-long,4,785,9.0,1.0,,
hist-long,5,795,9.0,2.0,,
hist-long,6,805,9.0,1.0,,
hist-long,7,815,9.0,2.0,,
hist-long,8,825,9.0,3.0,,
hist-long,9,835,9.0,2.0,,
hist-long,10,845,9.0,3.0,,
hist-long,11,855,9.0,2.0,,
hist-long,12,865,9.0,2.0,,
hist-long,13,875,9.0,3.0,,
hist-long,14,885,9.0,3.0,,
hist-long,15,895,9.0,4.0,,
hist-long,16,905,9.0,5.0,,
hist-long,17,915,9.0,8.0,,
hist-long,18,925,9.0,12.0,,
hist-long,19,935,9.0,16.0,,
hist-long,20,945,9.0,22.0,,
hist-long,21,955,9.0,28.0,,
hist-long,22,965,9.0,34.0,,
hist-long,23,975,9.0,37.0,,
hist-long,24,985,9.0,72.0,,
hist-long,25,995,9.0,122.0,,
discount,0,0,0.72,-0.18,0.018,80-99
discount,1,1,0.72,-0.112,0.018,100-124
discount,2,2,0.72,-0.088,0.02,125-149
discount,3,3,0.72,-0.032,0.022,150-300
discount,4,4,0.72,-0.003,0.016,700+
