year,low,q1,median,q3,high,outlier_low,outlier_high
1982,-6.65,-3.834,-2.25,-0.6659999999999999,2.1500000000000004,,
1983,-6.080000000000001,-3.3536,-1.82,-0.28639999999999977,2.4400000000000004,-7.251500000000001,
1984,-5.51,-2.8732,-1.3900000000000001,0.09319999999999995,2.73,-6.643000000000001,
1985,-4.94,-2.3928000000000003,-0.96,0.4728000000000001,3.0200000000000005,,4.1145000000000005
1986,-4.37,-1.9124,-0.53,0.8524,3.3100000000000005,-5.426,4.366
1987,-3.8000000000000003,-1.4320000000000002,-0.10000000000000009,1.232,3.6,,
1988,-3.2300000000000004,-0.9516,0.33000000000000007,1.6116000000000001,3.8900000000000006,,
1989,-2.6600000000000006,-0.4712000000000003,0.7599999999999998,1.9911999999999999,4.18,,
1990,-2.0900000000000003,0.009199999999999875,1.19,2.3708,4.470000000000001,,
1991,-1.52,0.48960000000000004,1.62,2.7504,4.76,,
1992,-0.9500000000000002,0.9699999999999998,2.05,3.13,5.05,,
1993,-0.3800000000000008,1.4503999999999995,2.4799999999999995,3.5096,5.34,,
1994,0.18999999999999995,1.9308,2.91,3.8892,5.630000000000001,,
1995,0.7599999999999998,2.4112,3.34,4.2688,5.92,,
