label,kind,low,q1,median,q3,high
infl,summary,0.0,9.8,22.0,36.7,40.7
ntis,summary,0.0,9.8,14.7,18.7,20.0
ntis,outlier,41.2,41.2,41.2,41.2,41.2
bm,summary,6.0,6.3,8.2,9.4,9.5
bm,outlier,0.2,0.2,0.2,0.2,0.2
bm,outlier,1.2,1.2,1.2,1.2,1.2
bm,outlier,26.2,26.2,26.2,26.2,26.2
bm,outlier,34.2,34.2,34.2,34.2,34.2
m2gr,summary,0.0,7.3,8.2,14.8,19.2
itgr,summary,0.0,4.8,7.5,9.4,10.6
itgr,outlier,18.3,18.3,18.3,18.3,18.3
de,summary,0.0,1.5,5.5,6.4,9.4
dp,summary,0.0,1.8,3.2,7.5,9.5
mtr,summary,0.0,1.0,3.0,8.0,10.3
mtr,outlier,22.2,22.2,22.2,22.2,22.2
ep,summary,0.0,1.0,3.0,7.2,9.8
ep,outlier,46.5,46.5,46.5,46.5,46.5
svar,summary,0.0,0.8,3.0,6.9,15.8
tms,summary,0.0,0.7,3.0,7.8,13.0
