panel,frequency,x,low,q1,median,q3,high
S,Mixed Frequency,0,0.265,0.269,0.273,0.277,0.281
S,Mixed Frequency,1,0.27799999999999997,0.283,0.288,0.293,0.298
S,Mixed Frequency,2,0.241,0.246,0.251,0.256,0.261
S,Mixed Frequency,3,0.22599999999999998,0.23099999999999998,0.236,0.241,0.246
S,Mixed Frequency,4,0.22999999999999998,0.235,0.24,0.245,0.25
S,Mixed Frequency,5,0.219,0.224,0.229,0.234,0.23900000000000002
S,Mixed Frequency,6,0.206,0.211,0.216,0.221,0.226
S,Mixed Frequency,7,0.194,0.198,0.202,0.20600000000000002,0.21000000000000002
S,Mixed Frequency,8,0.177,0.181,0.185,0.189,0.193
S,Mixed Frequency,9,0.161,0.165,0.169,0.17300000000000001,0.17700000000000002
S,Mixed Frequency,10,0.148,0.152,0.156,0.16,0.164
S,Mixed Frequency,11,0.127,0.131,0.135,0.139,0.14300000000000002
S,Mixed Frequency,12,0.107,0.11,0.113,0.116,0.11900000000000001
S,Quarterly Frequency,0,0.222,0.226,0.23,0.234,0.23800000000000002
S,Quarterly Frequency,1,0.248,0.253,0.258,0.263,0.268
S,Quarterly Frequency,2,0.212,0.217,0.222,0.227,0.232
S,Quarterly Frequency,3,0.191,0.196,0.201,0.20600000000000002,0.21100000000000002
S,Quarterly Frequency,4,0.179,0.184,0.189,0.194,0.199
S,Quarterly Frequency,5,0.152,0.157,0.162,0.167,0.17200000000000001
S,Quarterly Frequency,6,0.12400000000000001,0.129,0.134,0.139,0.14400000000000002
S,Quarterly Frequency,7,0.095,0.09899999999999999,0.103,0.107,0.11099999999999999
S,Quarterly Frequency,8,0.065,0.06899999999999999,0.073,0.077,0.08099999999999999
S,Quarterly Frequency,9,0.057,0.061,0.065,0.069,0.07300000000000001
S,Quarterly Frequency,10,0.057,0.061,0.065,0.069,0.07300000000000001
S,Quarterly Frequency,11,0.053,0.056999999999999995,0.061,0.065,0.069
S,Quarterly Frequency,12,0.054,0.056999999999999995,0.06,0.063,0.066
j,Mixed Frequency,0,0.265,0.269,0.273,0.277,0.281
j,Mixed Frequency,1,0.226,0.229,0.232,0.23500000000000001,0.23800000000000002
j,Mixed Frequency,2,0.175,0.178,0.181,0.184,0.187
j,Mixed Frequency,3,0.179,0.182,0.185,0.188,0.191
j,Mixed Frequency,4,0.22,0.224,0.228,0.232,0.23600000000000002
j,Mixed Frequency,5,0.185,0.188,0.191,0.194,0.197
j,Mixed Frequency,6,0.184,0.187,0.19,0.193,0.196
j,Mixed Frequency,7,0.182,0.185,0.188,0.191,0.194
j,Mixed Frequency,8,0.159,0.162,0.165,0.168,0.171
j,Mixed Frequency,9,0.13899999999999998,0.141,0.143,0.145,0.147
j,Mixed Frequency,10,0.133,0.135,0.137,0.139,0.14100000000000001
j,Mixed Frequency,11,0.12,0.122,0.124,0.126,0.128
j,Mixed Frequency,12,0.133,0.136,0.139,0.14200000000000002,0.14500000000000002
j,Quarterly Frequency,0,0.223,0.227,0.231,0.23500000000000001,0.23900000000000002
j,Quarterly Frequency,1,0.179,0.182,0.185,0.188,0.191
j,Quarterly Frequency,2,0.108,0.111,0.114,0.117,0.12000000000000001
j,Quarterly Frequency,3,0.109,0.112,0.115,0.11800000000000001,0.12100000000000001
j,Quarterly Frequency,4,0.10500000000000001,0.109,0.113,0.117,0.121
j,Quarterly Frequency,5,0.072,0.075,0.078,0.081,0.084
j,Quarterly Frequency,6,0.06799999999999999,0.071,0.074,0.077,0.08
j,Quarterly Frequency,7,0.06799999999999999,0.071,0.074,0.077,0.08
j,Quarterly Frequency,8,0.06799999999999999,0.071,0.074,0.077,0.08
j,Quarterly Frequency,9,0.048,0.049999999999999996,0.052,0.054,0.055999999999999994
j,Quarterly Frequency,10,0.048,0.049999999999999996,0.052,0.054,0.055999999999999994
j,Quarterly Frequency,11,0.045,0.047,0.049,0.051000000000000004,0.053000000000000005
j,Quarterly Frequency,12,0.044000000000000004,0.047,0.05,0.053000000000000005,0.056
