panel,section,label,y,estimate,low,high,color,display
Panel 1: Socialization (primary),A. Social preferences,(i) Index,0.0,0.45,0.12,0.76,green,0.45***
Panel 1: Socialization (primary),A. Social preferences,(ii) *Dictator game (stranger),1.0,0.54,0.0,1.12,gray,0.54*
Panel 1: Socialization (primary),A. Social preferences,(iii) *Public goods game (stranger),2.0,0.36,-0.05,0.74,gray,0.36*
Panel 1: Socialization (primary),B. Willingness to interact,(i) Index,3.8,-0.07,-0.42,0.28,green,−0.07
Panel 1: Socialization (primary),C. National identity,(i) Index,5.6,-0.06,-0.45,0.34,green,−0.06
Panel 1: Socialization (primary),D. Attitudes,(i) Index,7.399999999999999,-0.01,-0.24,0.22,green,−0.01
Panel 1: Socialization (primary),D. Attitudes,(ii) Marry outgroup,8.399999999999999,-0.18,-0.7,0.36,gray,−0.18
Panel 1: Socialization (primary),D. Attitudes,(iii) Citizenship for outgroup,9.4,-0.13,-0.62,0.44,gray,−0.13
Panel 1: Socialization (primary),D. Attitudes,(iv) Thermometer: Foreigners,10.4,-0.1,-0.58,0.35,gray,−0.10
Panel 1: Socialization (primary),D. Attitudes,(v) Thermometer: Politicians,11.4,-0.05,-0.58,0.5,gray,−0.05
Panel 1: Socialization (primary),D. Attitudes,(vi) Democracy best system,12.4,0.37,-0.06,0.78,gray,0.37*
Panel 2: Well-being (secondary),E. Well-being,(i) Index,14.2,0.08,-0.22,0.36,green,0.08
