panel,order,label,series,estimate,low,high,display
1,0,"Time
preferences",2–5 weeks,0.065,0.047,0.083,p = 0.476 / 0.833
1,1,Self-control,2–5 weeks,-0.146,-0.345,0.051,p = 0.159 / 0.595
1,2,"Identity
and values",2–5 weeks,0.169,-0.014,0.374,p = 0.031 / 0.259
1,3,"Self-regard
and mental health",2–5 weeks,0.132,0.114,0.149,p = 0.139 / 0.582
1,4,"Reduction in
substance abuse",2–5 weeks,0.058,-0.084,0.2,p = 0.407 / 0.833
1,5,Social network,2–5 weeks,0.11,-0.015,0.234,p = 0.076 / 0.422
1,0,"Time
preferences",12–13 weeks,0.095,-0.106,0.31,p = 0.303 / 0.952
1,1,Self-control,12–13 weeks,-0.026,-0.166,0.124,p = 0.794 / 0.992
1,2,"Identity
and values",12–13 weeks,-0.067,-0.26,0.114,p = 0.426 / 0.962
1,3,"Self-regard
and mental health",12–13 weeks,-0.025,-0.22,0.152,p = 0.707 / 0.992
1,4,"Reduction in
substance abuse",12–13 weeks,-0.06,-0.19,0.071,p = 0.305 / 0.952
1,5,Social network,12–13 weeks,-0.049,-0.23,0.119,p = 0.632 / 0.992
2,0,"Time
preferences",2–5 weeks,0.178,0.159,0.195,p = 0.068 / 0.419
2,1,Self-control,2–5 weeks,0.087,-0.113,0.282,p = 0.383 / 0.833
2,2,"Identity
and values",2–5 weeks,0.212,0.025,0.401,p = 0.043 / 0.319
2,3,"Self-regard
and mental health",2–5 weeks,0.113,0.092,0.133,p = 0.222 / 0.681
2,4,"Reduction in
substance abuse",2–5 weeks,0.254,0.111,0.398,p < 0.001 / 0.006
2,5,Social network,2–5 weeks,0.143,0.024,0.266,p = 0.018 / 0.179
2,0,"Time
preferences",12–13 weeks,0.15,-0.046,0.345,p = 0.144 / 0.826
2,1,Self-control,12–13 weeks,0.14,-0.078,0.346,p = 0.080 / 0.631
2,2,"Identity
and values",12–13 weeks,0.03,-0.145,0.204,p = 0.699 / 0.992
2,3,"Self-regard
and mental health",12–13 weeks,0.027,-0.145,0.204,p = 0.724 / 0.992
2,4,"Reduction in
substance abuse",12–13 weeks,0.07,-0.057,0.212,p = 0.282 / 0.951
2,5,Social network,12–13 weeks,0.06,-0.125,0.253,p = 0.496 / 0.971
3,0,"Time
preferences",2–5 weeks,0.317,0.299,0.335,p = 0.001 / 0.019
3,1,Self-control,2–5 weeks,0.037,-0.15,0.236,p = 0.696 / 0.833
3,2,"Identity
and values",2–5 weeks,0.249,0.037,0.452,p = 0.006 / 0.067
3,3,"Self-regard
and mental health",2–5 weeks,0.337,0.319,0.355,p < 0.001 / 0.004
3,4,"Reduction in
substance abuse",2–5 weeks,0.189,0.045,0.329,p = 0.006 / 0.067
3,5,Social network,2–5 weeks,0.316,0.191,0.44,p < 0.001 / <0.001
3,0,"Time
preferences",12–13 weeks,0.219,0.006,0.428,p = 0.047 / 0.464
3,1,Self-control,12–13 weeks,0.248,0.04,0.454,p = 0.061 / 0.154
3,2,"Identity
and values",12–13 weeks,0.112,-0.068,0.29,p = 0.211 / 0.904
3,3,"Self-regard
and mental health",12–13 weeks,0.207,0.023,0.387,p = 0.024 / 0.287
3,4,"Reduction in
substance abuse",12–13 weeks,0.059,-0.062,0.186,p = 0.335 / 0.952
3,5,Social network,12–13 weeks,0.136,-0.056,0.332,p = 0.145 / 0.826
