order,label,series,estimate,low,high
0,Independence,Financial,-0.038069216757741345,-0.06520947176684881,-0.01092896174863388
1,Hard work,Financial,0.005282331511839709,-0.021129326047358836,0.031876138433515486
2,Responsibility,Financial,-0.014571948998178506,-0.04517304189435337,0.01639344262295082
3,Imagination,Financial,-0.007832422586520947,-0.03460837887067395,0.019307832422586522
4,Tolerance,Financial,-0.001092896174863388,-0.03169398907103825,0.029326047358834244
5,Thrift,Financial,-0.05391621129326048,-0.08888888888888889,-0.01894353369763206
6,Determination,Financial,0.03442622950819672,0.008014571948998178,0.06120218579234973
7,Religious faith,Financial,-0.05628415300546448,-0.09854280510018215,-0.013843351548269581
8,Unselfishness,Financial,-0.014754098360655738,-0.0424408014571949,0.01347905282331512
9,Obedience,Financial,-0.04007285974499089,-0.08087431693989071,0.000546448087431694
10,Self-expression,Financial,-0.0007285974499089253,-0.028233151183970857,0.02695810564663024
0,Independence,Promotion,-0.05136612021857923,-0.08178506375227687,-0.020947176684881604
1,Hard work,Promotion,-0.014025500910746813,-0.04408014571948998,0.015846994535519125
2,Responsibility,Promotion,-0.022222222222222223,-0.05664845173041894,0.012021857923497269
3,Imagination,Promotion,0.03825136612021858,0.007650273224043716,0.06867030965391621
4,Tolerance,Promotion,-0.02185792349726776,-0.05555555555555555,0.011839708561020037
5,Thrift,Promotion,-0.06083788706739526,-0.1,-0.021493624772313296
6,Determination,Promotion,0.0546448087431694,0.025136612021857924,0.08415300546448087
7,Religious faith,Promotion,-0.06958105646630237,-0.11566484517304189,-0.02313296903460838
8,Unselfishness,Promotion,-0.017486338797814208,-0.04790528233151184,0.013296903460837887
9,Obedience,Promotion,-0.05136612021857923,-0.09726775956284153,-0.005646630236794172
10,Self-expression,Promotion,0.013114754098360656,-0.01785063752276867,0.04426229508196721
