panel,x,density
Crop 1 (time + all pieces),-5.0,5.0374374599004394e-08
Crop 1 (time + all pieces),-4.9,1.1002774984347468e-07
Crop 1 (time + all pieces),-4.8,2.3573127283724272e-07
Crop 1 (time + all pieces),-4.7,4.953983740285514e-07
Crop 1 (time + all pieces),-4.6,1.0212083526062482e-06
Crop 1 (time + all pieces),-4.5,2.064888214908747e-06
Crop 1 (time + all pieces),-4.4,4.095445384718105e-06
Crop 1 (time + all pieces),-4.3,7.967611278049886e-06
Crop 1 (time + all pieces),-4.2,1.5204689036299052e-05
Crop 1 (time + all pieces),-4.1,2.846094742621323e-05
Crop 1 (time + all pieces),-4.0,5.225689117911991e-05
Crop 1 (time + all pieces),-3.9,9.411529151224673e-05
Crop 1 (time + all pieces),-3.8,0.00016626438101677483
Crop 1 (time + all pieces),-3.7,0.00028811153995544485
Crop 1 (time + all pieces),-3.5999999999999996,0.0004897162255103417
Crop 1 (time + all pieces),-3.5,0.0008164897537454154
Crop 1 (time + all pieces),-3.4,0.0013353016648461414
Crop 1 (time + all pieces),-3.3,0.002142054161515424
Crop 1 (time + all pieces),-3.2,0.0033705743443332753
Crop 1 (time + all pieces),-3.0999999999999996,0.005202352547219264
Crop 1 (time + all pieces),-3.0,0.007876223915897058
Crop 1 (time + all pieces),-2.9,0.011696575672386602
Crop 1 (time + all pieces),-2.8,0.017038125829131397
Crop 1 (time + all pieces),-2.6999999999999997,0.02434486179662297
Crop 1 (time + all pieces),-2.5999999999999996,0.03412048623461385
Crop 1 (time + all pieces),-2.5,0.04690784866009811
Crop 1 (time + all pieces),-2.4,0.06325549010125775
Crop 1 (time + all pieces),-2.3,0.08367068807784714
Crop 1 (time + all pieces),-2.1999999999999997,0.10856025675817829
Crop 1 (time + all pieces),-2.0999999999999996,0.13816269276770662
Crop 1 (time + all pieces),-2.0,0.17247776741488538
Crop 1 (time + all pieces),-1.9,0.2112019194107718
Crop 1 (time + all pieces),-1.7999999999999998,0.25367928526253053
Crop 1 (time + all pieces),-1.6999999999999997,0.29887841805976556
Crop 1 (time + all pieces),-1.5999999999999996,0.3454033235741483
Crop 1 (time + all pieces),-1.5,0.391544271403198
Crop 1 (time + all pieces),-1.4,0.4353691402635082
Crop 1 (time + all pieces),-1.2999999999999998,0.47485040856407046
Crop 1 (time + all pieces),-1.1999999999999997,0.5080171755752773
Crop 1 (time + all pieces),-1.0999999999999996,0.5331168153336943
Crop 1 (time + all pieces),-1.0,0.548767993437357
Crop 1 (time + all pieces),-0.8999999999999995,0.5540865610064127
Crop 1 (time + all pieces),-0.7999999999999998,0.548769664518559
Crop 1 (time + all pieces),-0.7000000000000002,0.5331481285977417
Crop 1 (time + all pieces),-0.5999999999999996,0.5084138457176667
Crop 1 (time + all pieces),-0.5,0.47825044885366697
Crop 1 (time + all pieces),-0.39999999999999947,0.4550884783187727
Crop 1 (time + all pieces),-0.2999999999999998,0.46892883170822647
Crop 1 (time + all pieces),-0.1999999999999993,0.5508835446367986
Crop 1 (time + all pieces),-0.09999999999999964,0.6680595076789376
Crop 1 (time + all pieces),0.0,0.7024893507141423
Crop 1 (time + all pieces),0.10000000000000053,0.5803830090299427
Crop 1 (time + all pieces),0.20000000000000018,0.3779579884775347
Crop 1 (time + all pieces),0.3000000000000007,0.21554725307273404
Crop 1 (time + all pieces),0.40000000000000036,0.12827959481344264
Crop 1 (time + all pieces),0.5,0.08707072836744574
Crop 1 (time + all pieces),0.6000000000000005,0.06365216024392106
Crop 1 (time + all pieces),0.7000000000000002,0.04693916194860598
Crop 1 (time + all pieces),0.8000000000000007,0.03412215879406782
Crop 1 (time + all pieces),0.9000000000000004,0.024344922245490255
Crop 1 (time + all pieces),1.0,0.017038127307383442
Crop 1 (time + all pieces),1.1000000000000005,0.01169657569684692
Crop 1 (time + all pieces),1.2000000000000002,0.007876223916170919
Crop 1 (time + all pieces),1.3000000000000007,0.005202352547221321
Crop 1 (time + all pieces),1.4000000000000004,0.003370574344333286
Crop 1 (time + all pieces),1.5,0.002142054161515424
Crop 1 (time + all pieces),1.6000000000000005,0.001335301664846139
Crop 1 (time + all pieces),1.7000000000000002,0.0008164897537454154
Crop 1 (time + all pieces),1.8000000000000007,0.0004897162255103391
Crop 1 (time + all pieces),1.9000000000000004,0.00028811153995544485
Crop 1 (time + all pieces),2.0,0.00016626438101677483
Crop 1 (time + all pieces),2.1000000000000005,9.411529151224639e-05
Crop 1 (time + all pieces),2.2,5.225689117911991e-05
Crop 1 (time + all pieces),2.3000000000000007,2.8460947426213127e-05
Crop 1 (time + all pieces),2.4000000000000004,1.5204689036299052e-05
Crop 1 (time + all pieces),2.5,7.967611278049886e-06
Crop 1 (time + all pieces),2.6000000000000005,4.095445384718105e-06
Crop 1 (time + all pieces),2.7,2.064888214908747e-06
Crop 1 (time + all pieces),2.8000000000000007,1.0212083526062391e-06
Crop 1 (time + all pieces),2.9000000000000004,4.953983740285514e-07
Crop 1 (time + all pieces),3.0,2.3573127283724272e-07
Crop 1 (time + all pieces),3.0999999999999996,1.1002774984347468e-07
Crop 1 (time + all pieces),3.200000000000001,5.037437459900368e-08
Crop 1 (time + all pieces),3.3000000000000007,2.262244334386856e-08
Crop 1 (time + all pieces),3.4000000000000004,9.965331653140668e-09
Crop 1 (time + all pieces),3.5,4.305924497530213e-09
Crop 1 (time + all pieces),3.5999999999999996,1.8250025252165056e-09
Crop 1 (time + all pieces),3.700000000000001,7.587224503166818e-10
Crop 1 (time + all pieces),3.8000000000000007,3.0940320339945886e-10
Crop 1 (time + all pieces),3.9000000000000004,1.2376250260211279e-10
Crop 1 (time + all pieces),4.0,4.855967431248013e-11
Crop 1 (time + all pieces),4.1,1.8688947917942852e-11
Crop 1 (time + all pieces),4.200000000000001,7.055314016823106e-12
Crop 1 (time + all pieces),4.300000000000001,2.6125839117771508e-12
Crop 1 (time + all pieces),4.4,9.489570444932544e-13
Crop 1 (time + all pieces),4.5,3.3810007403180457e-13
Crop 1 (time + all pieces),4.600000000000001,1.1815888481825315e-13
Crop 1 (time + all pieces),4.700000000000001,4.050511848331983e-14
Crop 1 (time + all pieces),4.800000000000001,1.3619960126161498e-14
Crop 1 (time + all pieces),4.9,4.492252625867435e-15
Crop 1 (time + all pieces),5.0,1.4533657189632135e-15
"Crop 2 (time + pieces, $0.3/p)",-5.0,1.6570311628674556e-08
"Crop 2 (time + pieces, $0.3/p)",-4.9,3.201443895023892e-08
"Crop 2 (time + pieces, $0.3/p)",-4.8,6.105946193828579e-08
"Crop 2 (time + pieces, $0.3/p)",-4.7,1.1496136428039284e-07
"Crop 2 (time + pieces, $0.3/p)",-4.6,2.1366958358424757e-07
"Crop 2 (time + pieces, $0.3/p)",-4.5,3.9203546493967677e-07
"Crop 2 (time + pieces, $0.3/p)",-4.4,7.100678806011436e-07
"Crop 2 (time + pieces, $0.3/p)",-4.3,1.269598024574975e-06
"Crop 2 (time + pieces, $0.3/p)",-4.2,2.2409102668880774e-06
"Crop 2 (time + pieces, $0.3/p)",-4.1,3.904582047637701e-06
"Crop 2 (time + pieces, $0.3/p)",-4.0,6.716089861988681e-06
"Crop 2 (time + pieces, $0.3/p)",-3.9,1.1403818644997258e-05
"Crop 2 (time + pieces, $0.3/p)",-3.8,1.911507314639745e-05
"Crop 2 (time + pieces, $0.3/p)",-3.7,3.162958435138054e-05
"Crop 2 (time + pieces, $0.3/p)",-3.5999999999999996,5.166576495465702e-05
"Crop 2 (time + pieces, $0.3/p)",-3.5,8.331133645473201e-05
"Crop 2 (time + pieces, $0.3/p)",-3.4,0.00013261638866384555
"Crop 2 (time + pieces, $0.3/p)",-3.3,0.00020839253209952433
"Crop 2 (time + pieces, $0.3/p)",-3.2,0.0003232652073005674
"Crop 2 (time + pieces, $0.3/p)",-3.0999999999999996,0.0004950255736606727
"Crop 2 (time + pieces, $0.3/p)",-3.0,0.0007483214006418807
"Crop 2 (time + pieces, $0.3/p)",-2.9,0.001116710381555446
"Crop 2 (time + pieces, $0.3/p)",-2.8,0.001645071582188984
"Crop 2 (time + pieces, $0.3/p)",-2.6999999999999997,0.0023923290021939264
"Crop 2 (time + pieces, $0.3/p)",-2.5999999999999996,0.003434384130907684
"Crop 2 (time + pieces, $0.3/p)",-2.5,0.004867082307649552
"Crop 2 (time + pieces, $0.3/p)",-2.4,0.006808953543936622
"Crop 2 (time + pieces, $0.3/p)",-2.3,0.009403378336856212
"Crop 2 (time + pieces, $0.3/p)",-2.1999999999999997,0.012819742655510651
"Crop 2 (time + pieces, $0.3/p)",-2.0999999999999996,0.01725307709433332
"Crop 2 (time + pieces, $0.3/p)",-2.0,0.02292163945961988
"Crop 2 (time + pieces, $0.3/p)",-1.9,0.03006191550123654
"Crop 2 (time + pieces, $0.3/p)",-1.7999999999999998,0.03892059588465898
"Crop 2 (time + pieces, $0.3/p)",-1.6999999999999997,0.0497432515600726
"Crop 2 (time + pieces, $0.3/p)",-1.5999999999999996,0.06275967967591688
"Crop 2 (time + pieces, $0.3/p)",-1.5,0.0781662225303317
"Crop 2 (time + pieces, $0.3/p)",-1.4,0.09610575382906705
"Crop 2 (time + pieces, $0.3/p)",-1.2999999999999998,0.11664644644897518
"Crop 2 (time + pieces, $0.3/p)",-1.1999999999999997,0.1397608375540888
"Crop 2 (time + pieces, $0.3/p)",-1.0999999999999996,0.16530703443607442
"Crop 2 (time + pieces, $0.3/p)",-1.0,0.19301409939573108
"Crop 2 (time + pieces, $0.3/p)",-0.8999999999999995,0.22247367885627947
"Crop 2 (time + pieces, $0.3/p)",-0.7999999999999998,0.2531402018022317
"Crop 2 (time + pieces, $0.3/p)",-0.7000000000000002,0.28434911396410684
"Crop 2 (time + pieces, $0.3/p)",-0.5999999999999996,0.31543570572360724
"Crop 2 (time + pieces, $0.3/p)",-0.5,0.3464305370724675
"Crop 2 (time + pieces, $0.3/p)",-0.39999999999999947,0.38057882300045354
"Crop 2 (time + pieces, $0.3/p)",-0.2999999999999998,0.42787584310989163
"Crop 2 (time + pieces, $0.3/p)",-0.1999999999999993,0.4987773062089726
"Crop 2 (time + pieces, $0.3/p)",-0.09999999999999964,0.5789839849956389
"Crop 2 (time + pieces, $0.3/p)",0.0,0.6213424636757438
"Crop 2 (time + pieces, $0.3/p)",0.10000000000000053,0.5961827487476159
"Crop 2 (time + pieces, $0.3/p)",0.20000000000000018,0.5325212998645241
"Crop 2 (time + pieces, $0.3/p)",0.3000000000000007,0.47689921167429433
