panel,series,line,x,density
Control,Baseline,solid,-5.0,7.972018427206961e-05
Control,Baseline,solid,-4.875,9.951564538017654e-05
Control,Baseline,solid,-4.75,0.00012382734341423844
Control,Baseline,solid,-4.625,0.00015358493586034632
Control,Baseline,solid,-4.5,0.0001898877894956834
Control,Baseline,solid,-4.375,0.00023403454579966603
Control,Baseline,solid,-4.25,0.0002875615138614145
Control,Baseline,solid,-4.125,0.00035229629970150026
Control,Baseline,solid,-4.0,0.00043043794697186457
Control,Baseline,solid,-3.875,0.0005246820573096772
Control,Baseline,solid,-3.75,0.0006384186382586494
Control,Baseline,solid,-3.625,0.0007760400272124039
Control,Baseline,solid,-3.5,0.0009434018174223993
Control,Baseline,solid,-3.375,0.0011484735493655005
Control,Baseline,solid,-3.25,0.0014021872866842396
Control,Baseline,solid,-3.125,0.0017194299572667365
Control,Baseline,solid,-3.0,0.002120023835212401
Control,Baseline,solid,-2.875,0.0026294070953913487
Control,Baseline,solid,-2.75,0.0032785938738049457
Control,Baseline,solid,-2.625,0.0041029173617918215
Control,Baseline,solid,-2.5,0.005139113862056986
Control,Baseline,solid,-2.375,0.0064205564296984105
Control,Baseline,solid,-2.25,0.007970914018451505
Control,Baseline,solid,-2.125,0.009797132609087017
Control,Baseline,solid,-2.0,0.011883245212017664
Control,Baseline,solid,-1.875,0.014186880671538608
Control,Baseline,solid,-1.75,0.01664022159503065
Control,Baseline,solid,-1.625,0.019156433125529115
Control,Baseline,solid,-1.5,0.02164132329343813
Control,Baseline,solid,-1.375,0.02400851011893016
Control,Baseline,solid,-1.25,0.026195127638975094
Control,Baseline,solid,-1.125,0.028174567481302093
Control,Baseline,solid,-1.0,0.02996319566963894
Control,Baseline,solid,-0.875,0.03161934901493803
Control,Baseline,solid,-0.75,0.03323480973243517
Control,Baseline,solid,-0.625,0.034920789189954476
Control,Baseline,solid,-0.5,0.03679165391663992
Control,Baseline,solid,-0.375,0.038949867530383174
Control,Baseline,solid,-0.25,0.04147491497331253
Control,Baseline,solid,-0.125,0.044417644109105384
Control,Baseline,solid,0.0,0.047799985196777
Control,Baseline,solid,0.125,0.05161883689910902
Control,Baseline,solid,0.25,0.05585230220334142
Control,Baseline,solid,0.375,0.060466449860638254
Control,Baseline,solid,0.5,0.06542120980411621
Control,Baseline,solid,0.625,0.07067464074830691
Control,Baseline,solid,0.75,0.07618540775243134
Control,Baseline,solid,0.875,0.08191373303980656
Control,Baseline,solid,1.0,0.08782129053050419
Control,Baseline,solid,1.125,0.09387053611566827
Control,Baseline,solid,1.25,0.1000238719552239
Control,Baseline,solid,1.375,0.10624290577831827
Control,Baseline,solid,1.5,0.1124879370484701
Control,Baseline,solid,1.625,0.11871770680057614
Control,Baseline,solid,1.75,0.12488939177835015
Control,Baseline,solid,1.875,0.13095879885800432
Control,Baseline,solid,2.0,0.13688071128255602
Control,Baseline,solid,2.125,0.14260934373855516
Control,Baseline,solid,2.25,0.14809887181187356
Control,Baseline,solid,2.375,0.15330400916129014
Control,Baseline,solid,2.5,0.15818061151285345
Control,Baseline,solid,2.625,0.16268629029531592
Control,Baseline,solid,2.75,0.1667810209365457
Control,Baseline,solid,2.875,0.1704277321329486
Control,Baseline,solid,3.0,0.17359286328173645
Control,Baseline,solid,3.125,0.17624687806051162
Control,Baseline,solid,3.25,0.17836472304214587
Control,Baseline,solid,3.375,0.1799262213387156
Control,Baseline,solid,3.5,0.1809163926066881
Control,Baseline,solid,3.625,0.18132569230889
Control,Baseline,solid,3.75,0.18115016488658814
Control,Baseline,solid,3.875,0.1803915074031714
Control,Baseline,solid,4.0,0.1790570422271011
Control,Baseline,solid,4.125,0.17715959936898684
Control,Baseline,solid,4.25,0.17471731111693586
Control,Baseline,solid,4.375,0.17175332356725728
Control,Baseline,solid,4.5,0.16829543146836098
Control,Baseline,solid,4.625,0.1643756444330717
Control,Baseline,solid,4.75,0.16002969398377248
Control,Baseline,solid,4.875,0.15529649203887655
Control,Baseline,solid,5.0,0.15021755230024525
Control,Baseline,solid,5.125,0.14483638654133038
Control,Baseline,solid,5.25,0.13919788801731828
Control,Baseline,solid,5.375,0.13334771412398003
Control,Baseline,solid,5.5,0.12733168003379922
Control,Baseline,solid,5.625,0.12119517435794164
Control,Baseline,solid,5.75,0.11498260695055276
Control,Baseline,solid,5.875,0.10873689782428748
Control,Baseline,solid,6.0,0.10249901482471596
Control,Baseline,solid,6.125,0.09630756626168158
Control,Baseline,solid,6.25,0.09019845316503874
Control,Baseline,solid,6.375,0.08420458426780694
Control,Baseline,solid,6.5,0.07835565526747305
Control,Baseline,solid,6.625,0.07267799241878845
Control,Baseline,solid,6.75,0.06719445910748029
Control,Baseline,solid,6.875,0.06192442277702716
Control,Baseline,solid,7.0,0.05688377845710537
Control,Baseline,solid,7.125,0.0520850241929245
Control,Baseline,solid,7.25,0.04753738291300963
Control,Baseline,solid,7.375,0.0432469647058011
Control,Baseline,solid,7.5,0.03921696310295978
Control,Baseline,solid,7.625,0.03544787878370201
Control,Baseline,solid,7.75,0.031937764108739705
Control,Baseline,solid,7.875,0.028682482048877165
Control,Baseline,solid,8.0,0.025675973372856625
Control,Baseline,solid,8.125,0.02291052637989869
Control,Baseline,solid,8.25,0.02037704398117853
Control,Baseline,solid,8.375,0.018065303527163117
Control,Baseline,solid,8.5,0.015964205420457424
Control,Baseline,solid,8.625,0.014062007223684178
Control,Baseline,solid,8.75,0.012346540647709838
Control,Baseline,solid,8.875,0.010805409468142648
Control,Baseline,solid,9.0,0.009426167050946043
Control,Baseline,solid,9.125,0.008196472757520263
Control,Baseline,solid,9.25,0.007104227034934373
Control,Baseline,solid,9.375,0.006137685470311935
Control,Baseline,solid,9.5,0.0052855524946926235
Control,Baseline,solid,9.625,0.0045370557586663675
Control,Baseline,solid,9.75,0.003882002469743031
Control,Baseline,solid,9.875,0.0033108191818860965
Control,Baseline,solid,10.0,0.0028145766647314253
Control,Baseline,solid,10.125,0.0023850015589196834
Control,Baseline,solid,10.25,0.002014476550880914
Control,Baseline,solid,10.375,0.001696030782164398
Control,Baseline,solid,10.5,0.0014233221521850238
