panel,state,income,expenditure,kind
Figure 2a: Visible Expenditures,AL,36550.82184120411,8837.684310021414,point
Figure 2a: Visible Expenditures,AR,36775.51580604594,3407.7984663338175,point
Figure 2a: Visible Expenditures,AZ,35255.05379294665,11349.235587705703,point
Figure 2a: Visible Expenditures,CA,33357.67333438025,7891.687797322001,point
Figure 2a: Visible Expenditures,CO,40749.39328668402,9321.924942419086,point
Figure 2a: Visible Expenditures,CT,38499.440909806486,4602.839208846336,point
Figure 2a: Visible Expenditures,DE,35131.92173408915,6982.303281701496,point
Figure 2a: Visible Expenditures,FL,37615.20549442123,3404.983235354268,point
Figure 2a: Visible Expenditures,GA,40823.61689174641,4234.821092206372,point
Figure 2a: Visible Expenditures,IA,38403.96283071544,6249.304211514563,point
Figure 2a: Visible Expenditures,ID,37932.95554524648,9297.849299135862,point
Figure 2a: Visible Expenditures,IL,41792.83224005015,6769.090284257536,point
Figure 2a: Visible Expenditures,IN,35430.448901399104,9618.904090253558,point
Figure 2a: Visible Expenditures,KS,40706.85470714448,37.71862361465264,point
Figure 2a: Visible Expenditures,KY,41079.487476349655,1664.088150313221,point
Figure 2a: Visible Expenditures,LA,41716.94781168515,1481.289603639641,point
Figure 2a: Visible Expenditures,MA,43977.24996605053,6375.841325153785,point
Figure 2a: Visible Expenditures,MD,43311.908221125406,5302.34867026682,point
Figure 2a: Visible Expenditures,ME,46714.169093596975,3535.5630921018756,point
Figure 2a: Visible Expenditures,MI,42405.276902926686,-885.0295165997686,point
Figure 2a: Visible Expenditures,MN,41643.99241081563,5314.354386280185,point
Figure 2a: Visible Expenditures,MO,41716.01529557786,1984.1714853307271,point
Figure 2a: Visible Expenditures,MS,44029.53164438508,1508.2549333912307,point
Figure 2a: Visible Expenditures,NC,48074.55971924431,-211.89827395568108,point
Figure 2a: Visible Expenditures,ND,44559.98349732166,4865.319244006241,point
Figure 2a: Visible Expenditures,NE,46205.08545866083,-52.69219111591565,point
Figure 2a: Visible Expenditures,NH,47594.00784767715,-1396.786696709996,point
Figure 2a: Visible Expenditures,NJ,49668.00420698339,4957.906695352819,point
Figure 2a: Visible Expenditures,NM,48785.97596922641,1103.888051478257,point
Figure 2a: Visible Expenditures,NV,47949.86539550102,-297.49787103814157,point
Figure 2a: Visible Expenditures,NY,46751.03445301055,-2666.3269801995652,point
Figure 2a: Visible Expenditures,OH,52597.465376686094,-1554.6754810236928,point
Figure 2a: Visible Expenditures,OK,54451.97513093681,-5948.6005982359475,point
Figure 2a: Visible Expenditures,OR,52966.12556645047,174.68152576092098,point
Figure 2a: Visible Expenditures,PA,43921.09771675593,5243.807196411505,point
Figure 2a: Visible Expenditures,RI,54501.82698135854,-5532.866082904433,point
Figure 2a: Visible Expenditures,SC,51803.984321700824,-205.29486300462554,point
Figure 2a: Visible Expenditures,TN,51274.72043165094,484.1094211888935,point
Figure 2a: Visible Expenditures,TX,52229.58020344269,369.0802406108046,point
Figure 2a: Visible Expenditures,UT,49374.3727226006,-1589.762578897277,point
Figure 2a: Visible Expenditures,VA,57466.91342137817,-3292.5912398038545,point
Figure 2a: Visible Expenditures,VT,54778.09743454866,-1104.295912853141,point
Figure 2a: Visible Expenditures,WA,52389.91160456744,-4620.029202152473,point
Figure 2a: Visible Expenditures,WI,54157.77115240576,-6074.437409625843,point
Figure 2a: Visible Expenditures,WV,56806.51177426065,-9150.560638080176,point
Figure 2a: Visible Expenditures,,34000.0,7960.0,fit
Figure 2a: Visible Expenditures,,57000.0,-4920.000000000004,fit
Figure 2b: Housing Expenditures,AL,36550.82184120411,-10412.002287698833,point
Figure 2b: Housing Expenditures,AR,36775.51580604594,-10702.92474918622,point
Figure 2b: Housing Expenditures,AZ,35255.05379294665,-2418.693487233313,point
Figure 2b: Housing Expenditures,CA,33357.67333438025,-6967.523920575719,point
Figure 2b: Housing Expenditures,CO,40749.39328668402,-1266.2482980630232,point
Figure 2b: Housing Expenditures,CT,38499.440909806486,-2245.468080468986,point
Figure 2b: Housing Expenditures,DE,35131.92173408915,-6088.209047033968,point
Figure 2b: Housing Expenditures,FL,37615.20549442123,-7579.6404968595925,point
Figure 2b: Housing Expenditures,GA,40823.61689174641,-1753.6165614860743,point
Figure 2b: Housing Expenditures,IA,38403.96283071544,2239.5142272092007,point
Figure 2b: Housing Expenditures,ID,37932.95554524648,-6927.650166175418,point
Figure 2b: Housing Expenditures,IL,41792.83224005015,40.036865285758324,point
Figure 2b: Housing Expenditures,IN,35430.448901399104,-4522.04434700198,point
Figure 2b: Housing Expenditures,KS,40706.85470714448,-8831.877213584861,point
Figure 2b: Housing Expenditures,KY,41079.487476349655,2609.350738332071,point
Figure 2b: Housing Expenditures,LA,41716.94781168515,-2769.096838848179,point
Figure 2b: Housing Expenditures,MA,43977.24996605053,-417.6448504897039,point
Figure 2b: Housing Expenditures,MD,43311.908221125406,3171.499171473606,point
Figure 2b: Housing Expenditures,ME,46714.169093596975,6133.602868457152,point
