series,color,line,x,density
Treatment Democrat,#4058ff,solid,-3.8,1.3933370719857343e-05
Treatment Democrat,#4058ff,solid,-3.7564245810055863,1.8863241860013495e-05
Treatment Democrat,#4058ff,solid,-3.712849162011173,2.5426310591732712e-05
Treatment Democrat,#4058ff,solid,-3.6692737430167597,3.412378806812023e-05
Treatment Democrat,#4058ff,solid,-3.625698324022346,4.559718145713247e-05
Treatment Democrat,#4058ff,solid,-3.5821229050279326,6.066324442174666e-05
Treatment Democrat,#4058ff,solid,-3.5385474860335195,8.035633917294609e-05
Treatment Democrat,#4058ff,solid,-3.494972067039106,0.00010597941706322781
Treatment Democrat,#4058ff,solid,-3.4513966480446925,0.0001391649228745762
Treatment Democrat,#4058ff,solid,-3.4078212290502794,0.00018194700614518
Treatment Democrat,#4058ff,solid,-3.364245810055866,0.00023684647102881735
Treatment Democrat,#4058ff,solid,-3.3206703910614523,0.0003069699024976972
Treatment Democrat,#4058ff,solid,-3.2770949720670393,0.00039612435773066717
Treatment Democrat,#4058ff,solid,-3.2335195530726257,0.0005089488923739234
Treatment Democrat,#4058ff,solid,-3.189944134078212,0.0006510639860391012
Treatment Democrat,#4058ff,solid,-3.1463687150837987,0.0008292396233933163
Treatment Democrat,#4058ff,solid,-3.102793296089385,0.0010515823601746498
Treatment Democrat,#4058ff,solid,-3.059217877094972,0.0013277411422523858
Treatment Democrat,#4058ff,solid,-3.0156424581005585,0.0016691309375495916
Treatment Democrat,#4058ff,solid,-2.972067039106145,0.0020891723759876154
Treatment Democrat,#4058ff,solid,-2.928491620111732,0.002603544567451977
Treatment Democrat,#4058ff,solid,-2.8849162011173184,0.0032304470846977146
Treatment Democrat,#4058ff,solid,-2.841340782122905,0.003990865768055759
Treatment Democrat,#4058ff,solid,-2.7977653631284918,0.0049088355526622105
Treatment Democrat,#4058ff,solid,-2.7541899441340782,0.006011691968947963
Treatment Democrat,#4058ff,solid,-2.7106145251396647,0.0073303013679824275
Treatment Democrat,#4058ff,solid,-2.6670391061452516,0.008899258332735617
Treatment Democrat,#4058ff,solid,-2.6234636871508377,0.010757037225309836
Treatment Democrat,#4058ff,solid,-2.5798882681564246,0.012946083472022954
Treatment Democrat,#4058ff,solid,-2.536312849162011,0.015512829097066253
Treatment Democrat,#4058ff,solid,-2.4927374301675975,0.018507616283752897
Treatment Democrat,#4058ff,solid,-2.4491620111731844,0.021984512477254
Treatment Democrat,#4058ff,solid,-2.405586592178771,0.02600100085137023
Treatment Democrat,#4058ff,solid,-2.3620111731843574,0.030617530945966715
Treatment Democrat,#4058ff,solid,-2.3184357541899443,0.03589691603091837
Treatment Democrat,#4058ff,solid,-2.2748603351955308,0.04190356633754242
Treatment Democrat,#4058ff,solid,-2.2312849162011172,0.04870255076410398
Treatment Democrat,#4058ff,solid,-2.187709497206704,0.05635848401928719
Treatment Democrat,#4058ff,solid,-2.14413407821229,0.06493424138783557
Treatment Democrat,#4058ff,solid,-2.100558659217877,0.07448950931180544
Treatment Democrat,#4058ff,solid,-2.0569832402234636,0.08507918665573225
Treatment Democrat,#4058ff,solid,-2.01340782122905,0.09675165869014332
Treatment Democrat,#4058ff,solid,-1.969832402234637,0.1095469732608046
Treatment Democrat,#4058ff,solid,-1.9262569832402234,0.12349495603991892
Treatment Democrat,#4058ff,solid,-1.8826815642458101,0.13861330886978673
Treatment Democrat,#4058ff,solid,-1.8391061452513966,0.15490574166935522
Treatment Democrat,#4058ff,solid,-1.7955307262569833,0.17236019382350581
Treatment Democrat,#4058ff,solid,-1.7519553072625698,0.19094720505743998
