panel,x,estimate,low,high
1,0,0.005,-0.04,0.052
1,1,-0.01,-0.14,0.12
1,2,-0.041,-0.19,0.11
1,3,0.037,-0.09,0.122
1,4,0.005,-0.062,0.072
1,5,-0.007,-0.067,0.052
1,6,0.092,-0.06,0.243
1,7,-0.014,-0.155,0.13
1,8,-0.091,-0.175,-0.01
1,9,-0.068,-0.212,0.076
1,10,-0.026,-0.175,0.124
1,11,0.029,-0.108,0.169
2,0,-0.0065,-0.037,0.024
2,1,0.0002,-0.028,0.028
2,2,-0.0038,-0.034,0.026
2,3,0.0095,-0.025,0.044
2,4,-0.0042,-0.041,0.032
2,5,-0.0078,-0.038,0.022
2,6,-0.0115,-0.034,0.011
2,7,0.0032,-0.029,0.034
2,8,-0.0287,-0.052,-0.006
2,9,-0.0144,-0.038,0.009
2,10,-0.004,-0.04,0.032
2,11,-0.034,-0.076,0.009
