panel,period,period_label,estimate,lower,upper
log_value,-6,-6,-0.20,-0.40,0.00
log_value,-5,-5,-0.30,-0.65,0.10
log_value,-4,-4,-0.15,-0.55,0.20
log_value,-3,-3,-0.20,-0.50,0.15
log_value,-2,-2,-0.50,-0.90,0.00
log_value,-1,-1,-0.15,-0.45,0.10
log_value,0,0,-1.75,-2.20,-1.20
log_value,1,1,-2.20,-2.75,-1.60
log_value,2,2,-1.50,-2.00,-1.10
log_value,3,3,-2.75,-3.45,-2.05
log_value,4,4,-2.45,-3.35,-1.65
log_value,5,5,-2.90,-3.80,-2.05
log_value,6,6+,-2.15,-3.05,-1.30
log_quantity,-6,-6,-0.10,-0.40,0.20
log_quantity,-5,-5,-0.30,-0.75,0.20
log_quantity,-4,-4,-0.35,-0.80,0.20
log_quantity,-3,-3,-0.30,-0.75,0.20
log_quantity,-2,-2,-0.50,-1.20,0.20
log_quantity,-1,-1,-0.25,-0.75,0.35
log_quantity,0,0,-1.75,-2.40,-1.10
log_quantity,1,1,-2.15,-2.75,-1.40
log_quantity,2,2,-1.50,-2.25,-0.90
log_quantity,3,3,-2.80,-3.70,-1.85
log_quantity,4,4,-2.40,-3.50,-1.30
log_quantity,5,5,-2.75,-4.00,-1.65
log_quantity,6,6+,-2.20,-3.60,-1.10
log_unit_value,-6,-6,-0.60,-2.50,1.50
log_unit_value,-5,-5,-0.80,-2.50,1.20
log_unit_value,-4,-4,0.60,-1.30,2.50
log_unit_value,-3,-3,-1.40,-4.00,1.30
log_unit_value,-2,-2,-0.20,-3.30,2.80
log_unit_value,-1,-1,-1.20,-4.30,2.00
log_unit_value,0,0,-0.60,-3.80,2.60
log_unit_value,1,1,-1.20,-4.50,2.30
log_unit_value,2,2,0.70,-2.80,4.30
log_unit_value,3,3,0.90,-2.80,4.60
log_unit_value,4,4,-0.10,-3.50,4.70
log_unit_value,5,5,0.10,-3.70,3.80
log_unit_value,6,6+,1.00,-3.70,5.80
log_duty_inclusive_unit_value,-6,-6,-0.05,-0.22,0.15
log_duty_inclusive_unit_value,-5,-5,-0.05,-0.22,0.12
log_duty_inclusive_unit_value,-4,-4,0.08,-0.10,0.25
log_duty_inclusive_unit_value,-3,-3,-0.12,-0.38,0.12
log_duty_inclusive_unit_value,-2,-2,0.08,-0.27,0.40
log_duty_inclusive_unit_value,-1,-1,-0.15,-0.46,0.18
log_duty_inclusive_unit_value,0,0,0.50,0.20,0.82
log_duty_inclusive_unit_value,1,1,0.65,0.28,0.95
log_duty_inclusive_unit_value,2,2,0.85,0.42,1.25
log_duty_inclusive_unit_value,3,3,0.88,0.45,1.28
log_duty_inclusive_unit_value,4,4,0.78,0.40,1.20
log_duty_inclusive_unit_value,5,5,0.80,0.36,1.23
log_duty_inclusive_unit_value,6,6+,0.88,0.30,1.42
