panel,series,x,estimate,low,high
1,TWFE OLS,-7,0.004,-0.044,0.053
1,TWFE OLS,-5,0.0,-0.048,0.049
1,TWFE OLS,-3,0.017,-0.025,0.06
1,TWFE OLS,-1,0.0,0.0,0.0
1,TWFE OLS,1,0.055,0.004,0.105
1,TWFE OLS,3,0.09,0.02,0.16
1,TWFE OLS,5,0.087,0.012,0.163
1,Callaway-Sant’Anna,-7,-0.041,-0.095,0.014
1,Callaway-Sant’Anna,-5,0.019,-0.054,0.092
1,Callaway-Sant’Anna,-3,0.0,-0.06,0.061
1,Callaway-Sant’Anna,-1,-0.037,-0.099,0.026
1,Callaway-Sant’Anna,1,0.05,0.0,0.101
1,Callaway-Sant’Anna,3,0.066,0.025,0.109
1,Callaway-Sant’Anna,5,0.056,0.035,0.077
2,TWFE OLS,-7,-0.025,-0.099,0.05
2,TWFE OLS,-5,-0.018,-0.061,0.026
2,TWFE OLS,-3,0.009,-0.032,0.05
2,TWFE OLS,-1,0.0,0.0,0.0
2,TWFE OLS,1,0.035,-0.006,0.076
2,TWFE OLS,3,0.056,0.017,0.095
2,TWFE OLS,5,0.049,-0.019,0.117
2,Callaway-Sant’Anna,-7,0.017,-0.028,0.062
2,Callaway-Sant’Anna,-5,-0.04,-0.109,0.03
2,Callaway-Sant’Anna,-3,0.045,-0.015,0.104
2,Callaway-Sant’Anna,-1,0.016,-0.026,0.059
2,Callaway-Sant’Anna,1,0.008,-0.042,0.057
2,Callaway-Sant’Anna,3,0.041,0.0,0.083
2,Callaway-Sant’Anna,5,0.062,-0.008,0.132
