panel,series,x,estimate,low,high
1,Conventional,-8,-1.7,-5.3,2.0
1,Conventional,-7,-0.4,-4.4,3.4
1,Conventional,-6,-1.4,-5.3,2.7
1,Conventional,-5,-5.9,-9.9,-1.9
1,Conventional,-4,-3.3,-7.7,1.0
1,Conventional,-3,-0.3,-4.9,4.4
1,Conventional,-2,-3.8,-8.5,1.4
1,Conventional,-1,-3.1,-8.3,2.3
1,Conventional,0,11.0,5.3,16.8
1,Conventional,1,9.6,3.8,15.4
1,Conventional,2,1.6,-4.7,7.8
1,Conventional,3,0.5,-6.0,7.0
1,Conventional,4,-1.8,-8.8,5.1
1,Conventional,5,-4.2,-11.3,2.8
1,Conventional,6,-5.5,-12.8,1.9
1,Conventional,7,-6.4,-14.1,1.4
1,Imputation,-8,-1.5,-5.1,2.1
1,Imputation,-7,-0.4,-4.5,3.5
1,Imputation,-6,-1.3,-5.4,2.7
1,Imputation,-5,-5.8,-9.9,-1.9
1,Imputation,-4,-3.3,-7.7,1.0
1,Imputation,-3,-0.4,-4.9,4.3
1,Imputation,-2,-3.9,-8.7,1.1
1,Imputation,-1,-3.1,-8.3,2.2
1,Imputation,0,14.7,10.5,18.8
1,Imputation,1,13.7,9.8,17.8
1,Imputation,2,5.4,1.2,9.6
1,Imputation,3,4.4,0.1,8.9
1,Imputation,4,3.0,-1.6,7.8
1,Imputation,5,-1.5,-6.3,3.5
1,Imputation,6,-1.8,-7.0,3.5
1,Imputation,7,-2.3,-8.6,4.1
2,Conventional,-8,-2.3,-6.4,1.8
2,Conventional,-7,-0.9,-5.5,3.7
2,Conventional,-6,-1.0,-6.0,3.9
2,Conventional,-5,-4.4,-9.7,0.9
2,Conventional,-4,-1.7,-7.0,4.2
2,Conventional,-3,1.6,-4.7,8.0
2,Conventional,-2,-1.2,-7.9,5.5
2,Conventional,-1,-1.1,-8.3,6.2
2,Conventional,0,11.9,4.2,19.5
2,Conventional,1,9.3,1.1,17.5
2,Conventional,2,2.0,-6.5,10.4
2,Conventional,3,1.2,-7.9,10.5
2,Conventional,4,-0.3,-10.4,9.8
2,Conventional,5,-2.0,-12.1,8.1
2,Conventional,6,-2.3,-13.2,8.5
2,Conventional,7,-3.4,-14.9,8.0
2,Imputation,-8,-2.2,-6.4,1.8
2,Imputation,-7,-0.8,-5.4,3.7
2,Imputation,-6,-1.0,-5.9,3.9
2,Imputation,-5,-4.3,-9.6,0.9
2,Imputation,-4,-1.3,-6.9,4.6
2,Imputation,-3,2.1,-4.2,8.4
2,Imputation,-2,-0.4,-7.3,6.3
2,Imputation,-1,0.5,-7.1,7.9
2,Imputation,0,13.8,8.7,18.8
2,Imputation,1,12.0,5.3,18.4
2,Imputation,2,3.7,-2.4,9.5
2,Imputation,3,1.1,-6.0,8.2
2,Imputation,4,2.4,-6.3,11.1
2,Imputation,5,-0.2,-10.0,9.6
2,Imputation,6,2.3,-8.6,13.5
2,Imputation,7,2.8,-9.8,15.3
