panel,x,estimate,low,high,outer_low,outer_high
1,-5.0,-390,-520,-255,-593,-177
1,-4.5,-415,-540,-278,-625,-201
1,-4.0,-437,-520,-350,-579,-296
1,-3.5,-436,-522,-346,-581,-295
1,-3.0,-407,-478,-330,-531,-290
1,-2.5,-482,-540,-411,-580,-377
1,-2.0,-382,-455,-310,-496,-266
1,-1.5,-435,-488,-369,-523,-344
1,-1.0,-437,-471,-392,-497,-372
1,-0.5,-375,-419,-327,-454,-306
1,0.0,-180,-230,-114,-259,-100
1,0.5,-55,-111,24,-141,49
1,1.0,8,-45,62,-78,91
1,1.5,-11,-66,42,-91,72
1,2.0,-1,-56,53,-84,84
1,2.5,6,-49,59,-79,88
1,3.0,4,-53,56,-83,89
1,3.5,-65,-119,-10,-148,13
1,4.0,-13,-67,57,-101,91
1,4.5,32,-31,103,-61,131
1,5.0,-8,-64,56,-97,85
2,-5.0,-157,-179,-133,-192,-120
2,-4.5,-167,-190,-143,-203,-132
2,-4.0,-155,-176,-133,-187,-122
2,-3.5,-164,-187,-143,-196,-132
2,-3.0,-141,-171,-113,-186,-94
2,-2.5,-142,-176,-109,-193,-89
2,-2.0,-103,-151,-54,-176,-28
2,-1.5,-153,-178,-131,-192,-118
2,-1.0,-155,-175,-137,-187,-129
2,-0.5,-138,-158,-115,-174,-100
2,0.0,-1,-40,40,-61,58
2,0.5,-17,-51,20,-71,38
2,1.0,1,-32,34,-52,52
2,1.5,-13,-41,18,-60,34
2,2.0,16,-17,48,-37,65
2,2.5,-11,-43,18,-59,34
2,3.0,-4,-36,25,-47,40
2,3.5,-28,-59,3,-75,20
2,4.0,-19,-47,10,-64,26
2,4.5,17,-18,55,-38,71
2,5.0,3,-27,34,-44,48
3,-5.0,35,-90,164,-165,238
3,-4.5,19,-108,149,-185,221
3,-4.0,-49,-112,18,-155,55
3,-3.5,-61,-123,7,-162,44
3,-3.0,-24,-81,38,-118,75
3,-2.5,-96,-131,-52,-159,-14
3,-2.0,-51,-101,1,-128,30
3,-1.5,-49,-90,-5,-113,20
3,-1.0,-58,-85,-26,-103,-7
3,-0.5,-51,-80,-19,-98,-2
3,0.0,-56,-82,-29,-97,-12
3,0.5,-13,-47,21,-65,42
3,1.0,-26,-61,7,-77,28
3,1.5,-17,-53,19,-72,42
3,2.0,-16,-48,18,-68,40
3,2.5,-5,-36,30,-56,54
3,3.0,5,-30,42,-53,70
3,3.5,-23,-60,13,-83,37
3,4.0,14,-25,57,-47,79
3,4.5,-3,-42,40,-65,64
3,5.0,-16,-52,25,-75,48
4,-5.0,-197,-215,-171,-227,-160
4,-4.5,-199,-219,-171,-228,-161
4,-4.0,-195,-214,-165,-224,-154
4,-3.5,-161,-210,-113,-233,-87
4,-3.0,-169,-206,-134,-225,-113
4,-2.5,-191,-220,-174,-232,-161
4,-2.0,-174,-202,-149,-216,-136
4,-1.5,-171,-200,-143,-214,-128
4,-1.0,-171,-194,-153,-220,-145
4,-0.5,-138,-162,-119,-177,-108
4,0.0,-61,-89,-28,-98,-15
4,0.5,-17,-47,17,-58,34
4,1.0,16,-10,44,-25,62
4,1.5,5,-21,32,-36,49
4,2.0,-5,-32,19,-43,34
4,2.5,3,-23,28,-38,40
4,3.0,3,-22,29,-36,45
4,3.5,-12,-33,9,-45,24
4,4.0,-4,-29,21,-43,35
4,4.5,0,-25,25,-40,40
4,5.0,-14,-36,7,-49,19
5,-5.0,-33,-42,-23,-47,-18
5,-4.5,-35,-44,-25,-49,-20
5,-4.0,-34,-42,-24,-48,-19
5,-3.5,-35,-43,-25,-47,-20
5,-3.0,-34,-45,-25,-47,-19
5,-2.5,-26,-48,7,-57,17
5,-2.0,-28,-45,-5,-52,3
5,-1.5,-37,-43,-28,-49,-23
5,-1.0,-37,-45,-28,-51,-23
5,-0.5,-38,-47,-28,-52,-23
5,0.0,-21,-32,-6,-40,3
5,0.5,-1,-15,13,-26,23
5,1.0,10,-8,27,-17,36
5,1.5,8,-11,25,-21,35
5,2.0,4,-13,19,-22,28
5,2.5,14,-1,30,-13,39
5,3.0,-9,-24,4,-30,12
5,3.5,7,-8,21,-18,29
5,4.0,-3,-15,9,-23,17
5,4.5,15,-4,34,-14,45
5,5.0,8,-8,22,-16,32
6,-5.0,-50,-58,-41,-63,-37
6,-4.5,-47,-56,-39,-61,-36
6,-4.0,-31,-64,6,-88,27
6,-3.5,-31,-68,2,-82,20
6,-3.0,-47,-60,-39,-63,-29
6,-2.5,-35,-54,-15,-56,-5
6,-2.0,-38,-50,-27,-55,-18
6,-1.5,-43,-48,-36,-50,-33
6,-1.0,-40,-46,-31,-48,-27
6,-0.5,-37,-43,-29,-46,-25
6,0.0,-21,-28,-10,-32,-5
6,0.5,0,-14,13,-21,21
6,1.0,-1,-13,10,-19,18
6,1.5,2,-10,13,-16,19
6,2.0,0,-13,11,-19,17
6,2.5,-1,-11,10,-17,16
6,3.0,0,-10,12,-16,17
6,3.5,-7,-17,3,-23,9
6,4.0,0,-10,12,-16,19
6,4.5,2,-8,17,-14,23
6,5.0,9,-5,28,-11,37
