panel,x,control,treated,estimate,low,high
1,0,-0.12,-0.13,-0.005,-0.2,0.2
1,1,0.0,0.02,0.0,0.0,0.0
1,2,-0.1,0.0,0.2,0.015,0.39
1,3,0.15,0.38,0.23,0.02,0.45
1,4,0.92,1.14,0.26,0.04,0.5
1,5,1.37,1.58,0.18,-0.015,0.36
2,0,-0.03,-0.02,-0.09,-0.32,0.11
2,1,0.0,0.0,0.0,0.0,0.0
2,2,-0.08,0.03,0.16,-0.05,0.34
2,3,0.07,0.28,0.23,0.0,0.43
2,4,0.84,1.1,0.27,0.03,0.51
2,5,1.12,1.36,0.26,0.055,0.45
3,0,-0.06,-0.03,-0.085,-0.33,0.11
3,1,-0.01,0.0,0.0,0.0,0.0
3,2,-0.11,0.02,0.16,-0.04,0.34
3,3,0.05,0.27,0.23,0.005,0.44
3,4,0.84,1.1,0.265,0.04,0.51
3,5,1.13,1.37,0.26,0.055,0.465
