order,section,category,series,value
1,random,A unfair,A,4.65
1,random,A unfair,B,0.35
1,random,A unfair,C,0.1
2,random,"A delegates,
dice unfair",A,2.98
2,random,"A delegates,
dice unfair",B,0.68
2,random,"A delegates,
dice unfair",C,0.02
3,random,"A delegates,
dice fair",A,0.55
3,random,"A delegates,
dice fair",B,0.28
3,random,"A delegates,
dice fair",C,0.18
4,random,A fair,A,0.18
4,random,A fair,B,0.25
4,random,A fair,C,0.2
5,asymmetric,"A delegates,
B unfair",A,1.48
5,asymmetric,"A delegates,
B unfair",B,2.82
5,asymmetric,"A delegates,
B unfair",C,0.1
6,asymmetric,"A delegates,
B fair",A,0.48
6,asymmetric,"A delegates,
B fair",B,0.1
6,asymmetric,"A delegates,
B fair",C,0.06
7,asymmetric,A fair,A,0.1
7,asymmetric,A fair,B,0.08
7,asymmetric,A fair,C,0.07
