country,country_order,series,series_order,value
Chile,1,any,1,13.5
Chile,1,tw,2,5.0
Chile,1,usd,3,3.6
Chile,1,mtp,4,8.0
France,2,any,1,18.9
France,2,tw,2,8.0
France,2,usd,3,7.4
France,2,mtp,4,8.4
Germany,3,any,1,20.7
Germany,3,tw,2,13.7
Germany,3,usd,3,11.3
Germany,3,mtp,4,7.9
Italy,4,any,1,26.3
Italy,4,tw,2,13.6
Italy,4,usd,3,6.5
Italy,4,mtp,4,18.7
Japan,5,any,1,31.3
Japan,5,tw,2,26.3
Japan,5,usd,3,21.6
Japan,5,mtp,4,19.7
Netherlands,6,any,1,26.3
Netherlands,6,tw,2,15.0
Netherlands,6,usd,3,14.6
Netherlands,6,mtp,4,8.0
Thailand,7,any,1,21.4
Thailand,7,tw,2,14.7
Thailand,7,usd,3,15.4
Thailand,7,mtp,4,14.3
UK,8,any,1,18.9
UK,8,tw,2,11.1
UK,8,usd,3,13.2
UK,8,mtp,4,9.0
