panel,row,column,age,year,red,green,blue
1,0,0,20,1954,242,242,242
1,0,1,20,1955,253,253,253
1,0,2,20,1956,253,253,253
1,0,3,20,1957,253,253,253
1,0,4,20,1958,253,253,253
1,0,5,20,1959,254,254,254
1,0,6,20,1960,254,254,254
1,0,7,20,1961,253,253,253
1,0,8,20,1962,253,253,253
1,0,9,20,1963,253,253,253
1,0,10,20,1964,253,253,253
1,0,11,20,1965,253,253,253
1,0,12,20,1966,253,253,253
1,0,13,20,1967,253,253,253
1,0,14,20,1968,253,253,253
1,0,15,20,1969,253,253,253
1,0,16,20,1970,253,253,253
1,0,17,20,1971,253,253,253
1,0,18,20,1972,253,253,253
1,0,19,20,1973,253,253,253
1,0,20,20,1974,253,253,253
1,0,21,20,1975,253,253,253
1,0,22,20,1976,253,253,253
1,0,23,20,1977,253,253,253
1,0,24,20,1978,253,253,253
1,0,25,20,1979,253,253,253
1,0,26,20,1980,254,254,254
1,0,27,20,1981,253,253,253
1,0,28,20,1982,253,253,253
1,0,29,20,1983,253,253,253
1,0,30,20,1984,253,253,253
1,0,31,20,1985,253,253,253
1,0,32,20,1986,253,253,253
1,0,33,20,1987,253,253,253
1,0,34,20,1988,253,253,253
1,0,35,20,1989,253,253,253
1,0,36,20,1990,253,253,253
1,0,37,20,1991,253,253,253
1,0,38,20,1992,253,253,253
1,0,39,20,1993,253,253,253
1,0,40,20,1994,253,253,253
1,0,41,20,1995,253,253,253
1,0,42,20,1996,253,253,253
1,0,43,20,1997,253,253,253
1,0,44,20,1998,253,253,253
1,0,45,20,1999,253,253,253
1,0,46,20,2000,253,253,253
1,0,47,20,2001,253,253,253
1,0,48,20,2002,253,253,253
1,0,49,20,2003,250,250,250
1,0,50,20,2004,250,250,250
1,0,51,20,2005,253,253,253
1,0,52,20,2006,249,249,249
1,0,53,20,2007,253,253,253
1,0,54,20,2008,252,252,252
1,0,55,20,2009,253,253,253
1,0,56,20,2010,253,253,253
1,0,57,20,2011,252,252,252
1,0,58,20,2012,253,253,253
1,0,59,20,2013,251,251,251
1,0,60,20,2014,254,254,254
1,0,61,20,2015,253,253,253
1,0,62,20,2016,253,253,253
1,0,63,20,2017,253,253,253
1,0,64,20,2018,253,253,253
1,0,65,20,2019,253,253,253
1,0,66,20,2020,254,254,254
1,0,67,20,2021,253,253,253
1,0,68,20,2022,248,248,248
1,1,0,21,1954,243,243,243
1,1,1,21,1955,255,255,255
1,1,2,21,1956,255,255,255
1,1,3,21,1957,255,255,255
1,1,4,21,1958,255,255,255
1,1,5,21,1959,255,255,255
1,1,6,21,1960,255,255,255
1,1,7,21,1961,255,255,255
1,1,8,21,1962,255,255,255
1,1,9,21,1963,255,255,255
1,1,10,21,1964,255,255,255
1,1,11,21,1965,255,255,255
1,1,12,21,1966,255,255,255
1,1,13,21,1967,255,255,255
1,1,14,21,1968,255,255,255
1,1,15,21,1969,255,255,255
1,1,16,21,1970,255,255,255
1,1,17,21,1971,255,255,255
1,1,18,21,1972,255,255,255
1,1,19,21,1973,255,255,255
1,1,20,21,1974,255,255,255
1,1,21,21,1975,255,255,255
1,1,22,21,1976,255,255,255
1,1,23,21,1977,255,255,255
1,1,24,21,1978,255,255,255
1,1,25,21,1979,255,255,255
1,1,26,21,1980,255,255,255
1,1,27,21,1981,255,255,255
1,1,28,21,1982,255,255,255
1,1,29,21,1983,255,255,255
1,1,30,21,1984,255,255,255
1,1,31,21,1985,255,255,255
1,1,32,21,1986,255,255,255
1,1,33,21,1987,255,255,255
1,1,34,21,1988,255,255,255
1,1,35,21,1989,255,255,255
1,1,36,21,1990,255,255,255
1,1,37,21,1991,255,255,255
1,1,38,21,1992,255,255,255
1,1,39,21,1993,255,255,255
1,1,40,21,1994,255,255,255
1,1,41,21,1995,255,255,255
1,1,42,21,1996,255,255,255
1,1,43,21,1997,255,255,255
1,1,44,21,1998,255,255,255
1,1,45,21,1999,255,255,255
1,1,46,21,2000,255,255,255
1,1,47,21,2001,255,255,255
1,1,48,21,2002,255,255,255
1,1,49,21,2003,255,255,255
1,1,50,21,2004,255,255,255
1,1,51,21,2005,255,255,255
1,1,52,21,2006,255,255,255
1,1,53,21,2007,255,255,255
1,1,54,21,2008,255,255,255
1,1,55,21,2009,254,254,254
1,1,56,21,2010,253,253,253
1,1,57,21,2011,253,253,253
1,1,58,21,2012,255,255,255
1,1,59,21,2013,254,254,254
1,1,60,21,2014,254,254,254
1,1,61,21,2015,255,255,255
1,1,62,21,2016,255,255,255
1,1,63,21,2017,255,255,255
1,1,64,21,2018,255,255,255
1,1,65,21,2019,255,255,255
