row,column,date,red,green,blue
0,0,2007-09-01,243,245,246
0,1,2007-10-01,250,152,142
0,2,2007-11-01,248,187,176
0,3,2007-12-01,209,232,238
0,4,2008-01-01,250,170,160
0,5,2008-02-01,249,169,159
0,6,2008-03-01,164,210,223
0,7,2008-04-01,190,225,233
0,8,2008-05-01,174,217,228
0,9,2008-06-01,143,198,215
0,10,2008-07-01,221,237,241
0,11,2008-08-01,166,212,224
0,12,2008-09-01,249,177,166
0,13,2008-10-01,248,125,119
0,14,2008-11-01,233,241,242
0,15,2008-12-01,210,233,238
0,16,2009-01-01,249,157,147
0,17,2009-02-01,249,156,147
0,18,2009-03-01,210,233,238
0,19,2009-04-01,244,246,246
0,20,2009-05-01,205,230,237
0,21,2009-06-01,217,235,240
0,22,2009-07-01,250,166,155
0,23,2009-08-01,245,237,235
0,24,2009-09-01,244,72,56
0,25,2009-10-01,243,66,49
0,26,2009-11-01,240,46,25
0,27,2009-12-01,243,69,54
0,28,2010-01-01,245,88,77
0,29,2010-02-01,244,72,56
0,30,2010-03-01,244,83,71
0,31,2010-04-01,244,78,65
0,32,2010-05-01,245,90,79
0,33,2010-06-01,245,91,80
0,34,2010-07-01,247,219,215
0,35,2010-08-01,246,228,223
0,36,2010-09-01,246,221,216
0,37,2010-10-01,249,148,139
0,38,2010-11-01,249,151,141
0,39,2010-12-01,250,154,144
0,40,2011-01-01,246,95,87
0,41,2011-02-01,247,121,114
0,42,2011-03-01,247,218,213
0,43,2011-04-01,249,151,141
0,44,2011-05-01,237,243,244
0,45,2011-06-01,250,173,163
0,46,2011-07-01,225,239,242
0,47,2011-08-01,249,167,156
0,48,2011-09-01,250,171,161
0,49,2011-10-01,248,189,178
1,0,2007-09-01,246,230,227
1,1,2007-10-01,248,200,190
1,2,2007-11-01,247,215,209
1,3,2007-12-01,216,235,240
1,4,2008-01-01,245,236,234
1,5,2008-02-01,245,239,238
1,6,2008-03-01,170,214,226
1,7,2008-04-01,195,227,235
1,8,2008-05-01,175,217,228
1,9,2008-06-01,158,208,221
1,10,2008-07-01,183,221,232
1,11,2008-08-01,165,211,224
1,12,2008-09-01,209,232,238
1,13,2008-10-01,207,231,237
1,14,2008-11-01,171,215,227
1,15,2008-12-01,240,244,244
1,16,2009-01-01,191,225,234
1,17,2009-02-01,195,227,235
1,18,2009-03-01,140,196,212
1,19,2009-04-01,161,208,222
1,20,2009-05-01,174,217,228
1,21,2009-06-01,185,223,233
1,22,2009-07-01,246,223,218
1,23,2009-08-01,217,235,240
1,24,2009-09-01,250,172,162
1,25,2009-10-01,248,133,126
1,26,2009-11-01,243,70,54
1,27,2009-12-01,244,82,70
1,28,2010-01-01,246,228,224
1,29,2010-02-01,245,237,234
1,30,2010-03-01,248,210,203
1,31,2010-04-01,247,119,111
1,32,2010-05-01,250,172,162
1,33,2010-06-01,249,160,149
1,34,2010-07-01,193,226,234
1,35,2010-08-01,172,216,227
1,36,2010-09-01,179,219,230
1,37,2010-10-01,200,229,236
1,38,2010-11-01,241,244,245
1,39,2010-12-01,245,239,238
1,40,2011-01-01,244,243,243
1,41,2011-02-01,211,233,238
1,42,2011-03-01,221,236,241
1,43,2011-04-01,212,234,239
1,44,2011-05-01,170,214,226
1,45,2011-06-01,179,220,231
1,46,2011-07-01,190,225,233
1,47,2011-08-01,200,229,236
1,48,2011-09-01,242,245,245
1,49,2011-10-01,248,208,201
2,0,2007-09-01,227,239,242
2,1,2007-10-01,248,208,201
2,2,2007-11-01,247,212,206
2,3,2007-12-01,216,235,240
2,4,2008-01-01,247,215,209
2,5,2008-02-01,248,212,205
2,6,2008-03-01,164,210,223
2,7,2008-04-01,180,220,231
2,8,2008-05-01,164,210,223
2,9,2008-06-01,137,195,213
2,10,2008-07-01,165,211,224
2,11,2008-08-01,153,205,219
2,12,2008-09-01,222,238,241
2,13,2008-10-01,201,230,236
2,14,2008-11-01,188,224,234
2,15,2008-12-01,178,219,230
2,16,2009-01-01,208,232,237
2,17,2009-02-01,245,239,237
2,18,2009-03-01,154,205,219
2,19,2009-04-01,155,205,219
2,20,2009-05-01,132,192,210
2,21,2009-06-01,161,208,222
2,22,2009-07-01,230,240,242
2,23,2009-08-01,194,227,235
2,24,2009-09-01,241,245,245
2,25,2009-10-01,250,139,130
2,26,2009-11-01,246,106,100
2,27,2009-12-01,250,141,132
2,28,2010-01-01,246,227,223
2,29,2010-02-01,250,163,152
2,30,2010-03-01,250,163,152
2,31,2010-04-01,247,122,114
2,32,2010-05-01,250,165,154
2,33,2010-06-01,250,164,153
2,34,2010-07-01,184,222,233
2,35,2010-08-01,171,215,227
2,36,2010-09-01,210,233,238
2,37,2010-10-01,244,245,245
2,38,2010-11-01,248,200,192
2,39,2010-12-01,245,233,230
2,40,2011-01-01,248,194,183
2,41,2011-02-01,248,209,202
2,42,2011-03-01,220,236,240
2,43,2011-04-01,241,245,245
2,44,2011-05-01,178,219,230
2,45,2011-06-01,242,245,246
2,46,2011-07-01,210,233,238
2,47,2011-08-01,214,233,239
2,48,2011-09-01,238,244,244
2,49,2011-10-01,198,228,235
3,0,2007-09-01,205,230,237
3,1,2007-10-01,221,237,241
3,2,2007-11-01,248,190,179
3,3,2007-12-01,229,240,242
3,4,2008-01-01,248,182,171
3,5,2008-02-01,250,155,145
3,6,2008-03-01,165,212,224
3,7,2008-04-01,225,238,242
3,8,2008-05-01,170,215,227
3,9,2008-06-01,163,209,223
3,10,2008-07-01,184,222,233
3,11,2008-08-01,157,207,220
3,12,2008-09-01,208,231,237
3,13,2008-10-01,248,199,189
3,14,2008-11-01,226,239,242
3,15,2008-12-01,200,229,236
3,16,2009-01-01,222,238,241
3,17,2009-02-01,248,197,187
3,18,2009-03-01,209,232,238
3,19,2009-04-01,237,243,243
3,20,2009-05-01,160,208,222
3,21,2009-06-01,202,229,236
3,22,2009-07-01,222,238,241
3,23,2009-08-01,207,231,237
3,24,2009-09-01,248,212,205
3,25,2009-10-01,248,124,118
3,26,2009-11-01,245,82,69
3,27,2009-12-01,244,83,71
3,28,2010-01-01,248,132,126
3,29,2010-02-01,248,135,127
3,30,2010-03-01,250,169,159
3,31,2010-04-01,245,98,90
3,32,2010-05-01,247,121,114
3,33,2010-06-01,249,150,141
3,34,2010-07-01,245,233,230
3,35,2010-08-01,185,222,233
3,36,2010-09-01,233,241,243
3,37,2010-10-01,241,245,245
3,38,2010-11-01,248,135,128
3,39,2010-12-01,249,160,149
3,40,2011-01-01,249,151,141
3,41,2011-02-01,248,137,128
3,42,2011-03-01,248,193,182
3,43,2011-04-01,245,235,233
3,44,2011-05-01,234,241,243
3,45,2011-06-01,244,244,244
3,46,2011-07-01,191,225,234
3,47,2011-08-01,243,246,246
3,48,2011-09-01,248,204,196
3,49,2011-10-01,248,188,177
4,0,2007-09-01,216,235,240
4,1,2007-10-01,248,188,177
4,2,2007-11-01,245,235,232
4,3,2007-12-01,233,241,242
4,4,2008-01-01,241,244,245
4,5,2008-02-01,246,226,221
4,6,2008-03-01,210,233,238
4,7,2008-04-01,198,228,235
4,8,2008-05-01,203,230,236
4,9,2008-06-01,152,204,218
4,10,2008-07-01,170,215,227
4,11,2008-08-01,135,194,211
4,12,2008-09-01,169,214,226
4,13,2008-10-01,160,208,221
4,14,2008-11-01,145,200,215
4,15,2008-12-01,156,206,220
4,16,2009-01-01,157,207,220
4,17,2009-02-01,161,209,222
4,18,2009-03-01,137,195,213
4,19,2009-04-01,145,199,215
4,20,2009-05-01,130,191,210
4,21,2009-06-01,134,194,211
4,22,2009-07-01,183,222,233
4,23,2009-08-01,151,203,218
4,24,2009-09-01,189,224,234
4,25,2009-10-01,246,230,226
4,26,2009-11-01,250,171,161
4,27,2009-12-01,250,145,135
4,28,2010-01-01,244,246,246
4,29,2010-02-01,242,245,246
4,30,2010-03-01,225,238,242
4,31,2010-04-01,230,240,242
4,32,2010-05-01,215,234,239
4,33,2010-06-01,215,234,239
4,34,2010-07-01,128,190,209
4,35,2010-08-01,114,180,202
4,36,2010-09-01,144,199,214
4,37,2010-10-01,134,193,211
4,38,2010-11-01,174,216,228
4,39,2010-12-01,194,227,234
4,40,2011-01-01,202,229,236
4,41,2011-02-01,181,220,232
4,42,2011-03-01,147,201,216
4,43,2011-04-01,179,219,230
4,44,2011-05-01,145,200,215
4,45,2011-06-01,139,196,212
4,46,2011-07-01,164,210,223
4,47,2011-08-01,161,209,222
4,48,2011-09-01,169,214,226
4,49,2011-10-01,144,199,216
5,0,2007-09-01,228,239,241
5,1,2007-10-01,246,222,218
5,2,2007-11-01,247,218,213
5,3,2007-12-01,208,232,238
5,4,2008-01-01,246,231,227
5,5,2008-02-01,248,193,182
5,6,2008-03-01,187,224,234
5,7,2008-04-01,181,220,232
5,8,2008-05-01,169,214,226
5,9,2008-06-01,150,203,217
5,10,2008-07-01,146,200,215
5,11,2008-08-01,123,187,206
5,12,2008-09-01,200,229,236
5,13,2008-10-01,235,242,243
5,14,2008-11-01,180,220,232
5,15,2008-12-01,191,225,234
5,16,2009-01-01,174,217,228
5,17,2009-02-01,169,214,226
5,18,2009-03-01,129,191,209
5,19,2009-04-01,156,206,220
5,20,2009-05-01,128,190,209
5,21,2009-06-01,152,204,218
5,22,2009-07-01,199,229,236
5,23,2009-08-01,152,204,218
5,24,2009-09-01,247,219,214
