index,red,green,blue
0,64,137,172
1,36,122,162
2,36,122,162
3,36,122,162
4,44,129,166
5,113,181,201
6,113,181,201
7,114,181,201
8,114,181,201
9,122,186,206
10,122,186,206
11,129,191,210
12,128,191,210
13,128,191,210
14,128,191,210
15,144,199,214
16,144,200,215
17,144,200,215
18,144,200,215
19,147,201,216
20,159,208,222
21,159,208,222
22,159,208,222
23,159,208,222
24,159,208,222
25,161,210,223
26,175,217,228
27,174,217,228
28,174,217,228
29,173,216,228
30,186,223,233
31,193,226,235
32,193,226,235
33,193,226,235
34,191,226,235
35,191,226,235
36,215,234,239
37,216,234,240
38,215,234,240
39,215,234,240
40,222,237,241
41,240,244,245
42,240,244,245
43,240,244,245
44,240,244,245
45,245,228,224
46,245,228,224
47,249,219,213
48,249,219,213
49,249,218,212
50,249,218,212
51,249,188,177
52,249,186,175
53,249,186,175
54,249,186,175
55,249,176,166
56,250,157,148
57,250,157,148
58,250,157,148
59,250,158,149
60,249,132,124
61,249,132,124
62,249,125,118
63,249,125,118
64,249,123,115
65,249,123,115
66,247,99,92
67,247,100,93
68,247,100,93
69,247,100,93
70,247,95,87
71,245,86,73
72,245,86,73
73,245,86,73
74,245,87,74
75,245,79,67
76,245,79,67
77,245,71,56
78,245,72,57
79,245,72,57
80,245,72,58
81,244,61,42
82,243,59,38
83,243,59,38
84,243,59,38
85,243,59,38
86,241,46,26
87,241,46,26
88,241,46,26
89,241,46,26
90,241,46,26
91,241,46,26
92,241,46,26
93,241,46,26
94,241,46,26
95,241,46,26
96,241,46,26
97,241,46,26
98,241,46,26
99,241,46,26
