panel,row,column,assets,factors,red,green,blue
1,0,0,100,1,193,194,61
1,0,1,100,2,255,184,71
1,0,2,100,3,255,195,65
1,0,3,100,4,252,221,70
1,0,4,100,5,250,229,71
1,0,5,100,6,250,229,73
1,0,6,100,7,248,206,68
1,0,7,100,8,249,230,74
1,0,8,100,9,248,230,76
1,0,9,100,10,248,230,76
1,0,10,100,11,247,229,74
1,1,0,150,1,83,196,140
1,1,1,150,2,128,201,93
1,1,2,150,3,255,188,72
1,1,3,150,4,255,198,71
1,1,4,150,5,252,221,70
1,1,5,150,6,255,217,70
1,1,6,150,7,249,229,74
1,1,7,150,8,250,229,71
1,1,8,150,9,248,230,75
1,1,9,150,10,248,230,78
1,1,10,150,11,248,230,76
1,2,0,200,1,63,196,180
1,2,1,200,2,79,196,143
1,2,2,200,3,255,192,70
1,2,3,200,4,255,202,70
1,2,4,200,5,253,222,69
1,2,5,200,6,255,216,71
1,2,6,200,7,250,229,73
1,2,7,200,8,251,227,72
1,2,8,200,9,248,229,74
1,2,9,200,10,248,229,74
1,2,10,200,11,248,229,74
1,3,0,250,1,52,190,216
1,3,1,250,2,54,193,202
1,3,2,250,3,255,194,71
1,3,3,250,4,255,191,70
1,3,4,250,5,255,217,70
1,3,5,250,6,255,209,71
1,3,6,250,7,251,227,72
1,3,7,250,8,250,229,71
1,3,8,250,9,248,229,74
1,3,9,250,10,250,229,73
1,3,10,250,11,250,229,71
1,4,0,300,1,56,173,224
1,4,1,300,2,56,173,224
1,4,2,300,3,255,209,71
1,4,3,300,4,255,183,72
1,4,4,300,5,255,202,70
1,4,5,300,6,255,217,70
1,4,6,300,7,251,227,72
1,4,7,300,8,250,229,71
1,4,8,300,9,248,229,74
1,4,9,300,10,248,229,74
1,4,10,300,11,250,229,73
1,5,0,350,1,62,156,214
1,5,1,350,2,64,142,204
1,5,2,350,3,255,212,71
1,5,3,350,4,255,184,71
1,5,4,350,5,255,205,69
1,5,5,350,6,252,221,70
1,5,6,350,7,251,227,72
1,5,7,350,8,250,228,71
1,5,8,350,9,248,229,74
1,5,9,350,10,248,229,74
1,5,10,350,11,248,229,74
1,6,0,400,1,64,142,204
1,6,1,400,2,58,112,188
1,6,2,400,3,253,222,69
1,6,3,400,4,255,190,71
1,6,4,400,5,255,202,70
1,6,5,400,6,255,217,70
1,6,6,400,7,253,224,72
1,6,7,400,8,251,225,71
1,6,8,400,9,248,229,74
1,6,9,400,10,248,229,74
1,6,10,400,11,248,229,74
1,7,0,450,1,61,131,199
1,7,1,450,2,57,118,191
1,7,2,450,3,250,228,71
1,7,3,450,4,255,202,70
1,7,4,450,5,255,213,71
1,7,5,450,6,253,222,69
1,7,6,450,7,251,225,71
1,7,7,450,8,251,225,71
1,7,8,450,9,250,229,71
1,7,9,450,10,248,229,74
1,7,10,450,11,248,230,75
1,8,0,500,1,59,124,194
1,8,1,500,2,59,120,192
1,8,2,500,3,255,217,70
1,8,3,500,4,255,206,70
1,8,4,500,5,255,213,71
1,8,5,500,6,253,222,69
1,8,6,500,7,250,228,71
1,8,7,500,8,250,228,71
1,8,8,500,9,250,229,71
1,8,9,500,10,248,230,75
1,8,10,500,11,248,229,74
1,9,0,550,1,57,114,189
1,9,1,550,2,59,128,196
1,9,2,550,3,53,193,209
1,9,3,550,4,255,206,70
1,9,4,550,5,255,209,70
1,9,5,550,6,253,224,72
1,9,6,550,7,251,227,72
1,9,7,550,8,251,225,71
1,9,8,550,9,253,224,72
1,9,9,550,10,250,229,73
1,9,10,550,11,248,230,75
1,10,0,600,1,59,107,184
1,10,1,600,2,63,137,202
1,10,2,600,3,59,120,192
1,10,3,600,4,255,209,71
1,10,4,600,5,255,216,71
1,10,5,600,6,253,224,72
1,10,6,600,7,251,227,72
1,10,7,600,8,251,225,71
1,10,8,600,9,251,225,71
1,10,9,600,10,251,225,71
1,10,10,600,11,248,230,76
1,11,0,650,1,60,104,183
1,11,1,650,2,60,159,216
1,11,2,650,3,58,94,177
