panel,index,red,green,blue
1,0,77,83,143
1,1,81,84,143
1,2,81,87,144
1,3,83,89,143
1,4,84,90,144
1,5,84,90,144
1,6,85,93,147
1,7,86,94,148
1,8,86,95,149
1,9,86,96,149
1,10,88,99,149
1,11,88,100,149
1,12,88,99,145
1,13,89,100,148
1,14,82,106,153
1,15,83,106,154
1,16,83,107,155
1,17,82,108,154
1,18,83,109,156
1,19,84,110,155
1,20,85,110,156
1,21,86,112,156
1,22,86,114,157
1,23,86,117,158
1,24,87,117,159
1,25,87,119,160
1,26,88,121,160
1,27,89,125,165
1,28,87,129,169
1,29,87,130,169
1,30,88,134,172
1,31,88,136,173
1,32,88,137,173
1,33,87,140,175
1,34,84,143,176
1,35,82,145,174
1,36,81,147,175
1,37,81,149,176
1,38,79,154,181
1,39,78,150,176
1,40,80,152,176
1,41,81,158,182
1,42,80,158,175
1,43,81,159,175
1,44,80,161,172
1,45,80,161,170
1,46,79,161,169
1,47,79,161,166
1,48,80,162,164
1,49,81,162,164
1,50,81,162,159
1,51,82,162,159
1,52,83,162,157
1,53,84,157,150
1,54,88,163,148
1,55,88,163,147
1,56,90,163,144
1,57,90,163,142
1,58,98,163,139
1,59,98,163,136
1,60,101,163,130
1,61,103,164,124
1,62,104,164,123
1,63,106,164,120
1,64,109,164,118
1,65,117,164,112
1,66,121,161,107
1,67,125,159,105
1,68,132,165,104
1,69,136,166,103
1,70,141,165,96
1,71,145,165,95
1,72,152,164,94
1,73,156,164,92
1,74,162,164,91
1,75,165,162,89
1,76,167,162,89
1,77,170,161,90
1,78,181,159,89
1,79,185,158,89
1,80,184,157,89
1,81,181,152,91
1,82,194,157,95
1,83,194,157,95
1,84,194,158,95
1,85,194,158,96
1,86,195,160,95
1,87,195,162,95
1,88,194,164,94
1,89,194,166,95
1,90,194,169,95
1,91,194,170,94
1,92,192,173,94
1,93,190,175,94
1,94,181,172,93
1,95,189,179,95
1,96,188,181,96
1,97,188,181,96
1,98,188,181,96
1,99,189,182,97
2,0,255,255,255
2,1,255,255,255
2,2,255,255,255
2,3,211,211,213
2,4,255,255,255
2,5,255,255,255
2,6,255,255,255
2,7,255,255,255
2,8,255,255,255
2,9,255,255,255
2,10,255,255,255
2,11,255,255,255
2,12,255,255,255
2,13,233,233,234
2,14,255,255,255
2,15,255,255,255
2,16,255,255,255
2,17,255,255,255
2,18,255,255,255
2,19,255,255,255
2,20,255,255,255
2,21,255,255,255
2,22,233,233,234
2,23,255,255,255
2,24,255,255,255
2,25,188,189,191
2,26,255,255,255
2,27,255,255,255
2,28,255,255,255
2,29,255,255,255
2,30,255,255,255
2,31,233,233,234
2,32,233,233,234
2,33,255,255,255
2,34,233,233,234
2,35,211,211,213
2,36,255,255,255
2,37,255,255,255
2,38,255,255,255
2,39,255,255,255
2,40,255,255,255
2,41,255,255,255
2,42,255,255,255
2,43,255,255,255
2,44,233,233,234
2,45,211,211,213
2,46,255,255,255
2,47,255,255,255
2,48,255,255,255
2,49,255,255,255
2,50,255,255,255
2,51,166,167,170
2,52,255,255,255
2,53,255,255,255
2,54,188,189,191
2,55,255,255,255
2,56,255,255,255
2,57,255,255,255
2,58,255,255,255
2,59,255,255,255
2,60,255,255,255
2,61,188,189,191
2,62,255,255,255
2,63,255,255,255
2,64,188,189,191
2,65,255,255,255
2,66,255,255,255
2,67,255,255,255
2,68,255,255,255
2,69,255,255,255
2,70,188,189,191
2,71,255,255,255
2,72,255,255,255
2,73,255,255,255
2,74,233,233,234
2,75,255,255,255
2,76,255,255,255
2,77,255,255,255
2,78,255,255,255
2,79,255,255,255
2,80,233,233,234
2,81,233,233,234
2,82,255,255,255
2,83,233,233,234
2,84,211,211,213
2,85,255,255,255
2,86,255,255,255
2,87,255,255,255
2,88,255,255,255
2,89,255,255,255
2,90,211,211,213
2,91,255,255,255
2,92,255,255,255
2,93,233,233,234
2,94,255,255,255
2,95,255,255,255
2,96,255,255,255
2,97,255,255,255
2,98,255,255,255
2,99,255,255,255
3,0,46,61,159
3,1,46,63,160
3,2,50,68,164
3,3,51,71,165
3,4,50,73,167
3,5,50,76,168
3,6,52,79,170
3,7,51,81,171
3,8,53,83,172
3,9,55,85,172
3,10,57,87,174
3,11,56,88,176
3,12,55,90,176
3,13,57,91,176
3,14,58,93,177
3,15,57,95,179
3,16,57,97,178
3,17,58,100,181
3,18,60,102,181
3,19,59,103,182
3,20,59,105,183
3,21,57,107,184
3,22,56,113,188
3,23,57,114,188
3,24,58,118,189
3,25,59,121,191
3,26,59,127,195
3,27,58,131,199
3,28,60,133,199
3,29,62,137,201
3,30,64,144,207
3,31,64,149,210
3,32,62,151,210
3,33,62,155,212
3,34,60,163,217
3,35,59,166,219
3,36,58,169,222
3,37,55,171,223
3,38,54,177,226
3,39,51,181,229
3,40,53,183,226
3,41,53,185,224
3,42,53,189,220
3,43,53,191,217
3,44,51,191,214
3,45,52,193,211
3,46,54,194,202
3,47,55,195,199
3,48,56,196,195
3,49,58,196,191
3,50,61,196,185
3,51,63,196,180
3,52,65,197,176
3,53,68,197,172
3,54,72,196,163
3,55,74,197,160
3,56,73,197,157
3,57,76,196,151
3,58,82,196,142
3,59,84,196,137
3,60,87,196,134
3,61,90,196,129
3,62,96,197,119
3,63,101,197,115
3,64,106,198,112
3,65,109,198,108
3,66,121,200,96
3,67,128,201,94
3,68,134,203,90
3,69,139,203,85
3,70,154,203,76
3,71,161,201,70
3,72,170,200,67
3,73,178,198,65
3,74,189,195,63
3,75,198,194,60
3,76,208,192,58
3,77,212,191,57
3,78,226,188,57
3,79,234,186,58
3,80,240,185,59
3,81,245,185,60
3,82,255,184,67
3,83,255,184,70
3,84,255,185,72
3,85,255,185,72
3,86,255,191,72
3,87,255,194,70
3,88,255,197,68
3,89,255,201,69
3,90,255,206,70
3,91,255,210,71
3,92,255,213,72
3,93,255,216,71
3,94,255,222,70
3,95,253,225,71
3,96,250,228,73
3,97,250,229,72
3,98,248,230,76
3,99,247,230,78
4,0,255,255,255
4,1,255,255,255
4,2,255,255,255
4,3,255,255,255
4,4,255,255,255
4,5,255,255,255
4,6,255,255,255
4,7,188,189,191
4,8,255,255,255
4,9,255,255,255
4,10,255,255,255
4,11,255,255,255
4,12,255,255,255
4,13,255,255,255
4,14,255,255,255
4,15,255,255,255
4,16,255,255,255
4,17,255,255,255
4,18,166,167,170
4,19,188,189,191
4,20,211,211,213
4,21,188,189,191
4,22,255,255,255
4,23,255,255,255
4,24,255,255,255
4,25,255,255,255
4,26,255,255,255
4,27,255,255,255
4,28,255,255,255
4,29,255,255,255
4,30,255,255,255
4,31,166,167,170
4,32,211,211,213
4,33,188,189,191
4,34,233,233,234
4,35,255,255,255
4,36,255,255,255
4,37,255,255,255
4,38,255,255,255
4,39,255,255,255
4,40,255,255,255
4,41,255,255,255
4,42,255,255,255
4,43,188,189,191
4,44,211,211,213
4,45,188,189,191
4,46,188,189,191
4,47,255,255,255
4,48,255,255,255
4,49,255,255,255
4,50,255,255,255
4,51,255,255,255
4,52,255,255,255
4,53,255,255,255
4,54,255,255,255
4,55,188,189,191
4,56,188,189,191
4,57,211,211,213
4,58,166,167,170
4,59,255,255,255
4,60,255,255,255
4,61,255,255,255
4,62,255,255,255
4,63,255,255,255
4,64,255,255,255
4,65,255,255,255
4,66,255,255,255
4,67,233,233,234
4,68,145,146,150
4,69,211,211,213
4,70,188,189,191
4,71,233,233,234
4,72,255,255,255
4,73,255,255,255
4,74,255,255,255
4,75,255,255,255
4,76,255,255,255
4,77,255,255,255
4,78,255,255,255
4,79,255,255,255
4,80,211,211,213
4,81,211,211,213
4,82,188,189,191
4,83,188,189,191
4,84,255,255,255
4,85,255,255,255
4,86,255,255,255
4,87,255,255,255
4,88,255,255,255
4,89,255,255,255
4,90,255,255,255
4,91,255,255,255
4,92,211,211,213
4,93,188,189,191
4,94,188,189,191
4,95,145,146,150
4,96,255,255,255
4,97,255,255,255
4,98,255,255,255
4,99,255,255,255
5,0,46,64,162
5,1,47,67,163
5,2,51,71,165
5,3,51,73,166
5,4,51,75,167
5,5,53,77,168
5,6,53,81,170
5,7,54,83,171
5,8,54,84,173
5,9,55,85,173
5,10,55,88,174
5,11,57,89,175
5,12,58,91,176
5,13,56,92,177
5,14,58,96,177
5,15,58,98,179
5,16,59,99,181
5,17,60,101,182
5,18,59,105,184
5,19,58,106,184
5,20,58,108,185
5,21,58,109,185
5,22,56,114,188
5,23,58,118,191
5,24,59,122,192
5,25,59,124,194
5,26,59,130,198
5,27,60,134,200
5,28,62,138,202
5,29,61,141,205
5,30,64,149,208
5,31,62,152,210
5,32,60,156,213
5,33,59,159,215
5,34,58,167,221
5,35,58,169,221
5,36,57,172,223
5,37,54,175,226
5,38,53,181,227
5,39,53,183,226
5,40,53,185,223
5,41,53,186,221
5,42,52,190,215
5,43,51,191,212
5,44,51,194,210
5,45,53,194,206
5,46,55,195,198
5,47,56,195,195
5,48,60,197,191
5,49,62,197,188
5,50,64,196,179
5,51,65,197,176
5,52,68,197,171
5,53,70,196,165
5,54,74,197,159
5,55,76,196,155
5,56,77,196,152
5,57,79,196,146
5,58,85,196,138
5,59,87,196,133
5,60,90,197,128
5,61,93,197,124
5,62,101,197,114
5,63,107,197,111
5,64,112,198,105
5,65,117,200,101
5,66,128,202,93
5,67,134,203,90
5,68,143,204,86
5,69,151,204,80
5,70,163,201,70
5,71,172,200,66
5,72,178,199,64
5,73,185,197,63
5,74,199,194,60
5,75,208,192,58
5,76,215,191,56
5,77,220,189,56
5,78,235,186,57
5,79,239,186,58
5,80,246,186,61
5,81,252,185,64
5,82,255,184,70
5,83,255,184,74
5,84,255,185,71
5,85,255,189,73
5,86,255,195,71
5,87,255,198,70
5,88,255,201,69
5,89,255,204,71
5,90,255,211,71
5,91,255,214,71
5,92,255,217,71
5,93,254,220,70
5,94,252,226,72
5,95,253,229,72
5,96,251,229,72
5,97,249,230,74
5,98,248,230,76
5,99,248,230,76
6,0,255,255,255
6,1,255,255,255
6,2,255,255,255
6,3,255,255,255
6,4,255,255,255
6,5,255,255,255
6,6,255,255,255
6,7,255,255,255
6,8,255,255,255
6,9,188,189,191
6,10,211,211,213
6,11,166,167,170
6,12,211,211,213
6,13,255,255,255
6,14,255,255,255
6,15,255,255,255
6,16,255,255,255
6,17,255,255,255
6,18,255,255,255
6,19,166,167,170
6,20,211,211,213
6,21,188,189,191
6,22,232,232,234
6,23,255,255,255
6,24,255,255,255
6,25,255,255,255
6,26,255,255,255
6,27,255,255,255
6,28,255,255,255
6,29,188,189,191
6,30,211,211,213
6,31,188,189,191
6,32,166,167,170
6,33,255,255,255
6,34,255,255,255
6,35,255,255,255
6,36,255,255,255
6,37,255,255,255
6,38,255,255,255
6,39,188,189,191
6,40,188,189,191
6,41,211,211,213
6,42,188,189,191
6,43,255,255,255
6,44,255,255,255
6,45,255,255,255
6,46,255,255,255
6,47,255,255,255
6,48,255,255,255
6,49,255,255,255
6,50,211,211,213
6,51,188,189,191
6,52,188,189,191
6,53,188,189,191
6,54,255,255,255
6,55,255,255,255
6,56,255,255,255
6,57,255,255,255
6,58,255,255,255
6,59,233,233,234
6,60,145,146,150
6,61,211,211,213
6,62,188,189,191
6,63,233,233,234
6,64,255,255,255
6,65,255,255,255
6,66,255,255,255
6,67,255,255,255
6,68,255,255,255
6,69,255,255,255
6,70,166,167,170
6,71,211,211,213
6,72,188,189,191
6,73,123,124,128
6,74,255,255,255
6,75,255,255,255
6,76,255,255,255
6,77,255,255,255
6,78,255,255,255
6,79,255,255,255
6,80,188,189,191
6,81,188,189,191
6,82,188,189,191
6,83,166,167,170
6,84,255,255,255
6,85,255,255,255
6,86,255,255,255
6,87,255,255,255
6,88,255,255,255
6,89,255,255,255
6,90,188,189,191
6,91,188,189,191
6,92,211,211,213
6,93,188,189,191
6,94,255,255,255
6,95,255,255,255
6,96,255,255,255
6,97,255,255,255
6,98,255,255,255
6,99,255,255,255
7,0,42,60,159
7,1,43,63,161
7,2,53,67,164
7,3,55,69,164
7,4,56,71,165
7,5,57,74,165
7,6,60,78,167
7,7,60,80,168
7,8,62,81,169
7,9,61,84,172
7,10,62,87,171
7,11,58,88,173
7,12,58,90,173
7,13,59,91,175
7,14,61,94,178
7,15,61,96,179
7,16,60,98,183
7,17,61,99,185
7,18,57,100,185
7,19,55,102,185
7,20,55,104,186
7,21,57,104,177
7,22,54,111,189
7,23,55,113,191
7,24,56,117,194
7,25,59,119,192
7,26,62,125,194
7,27,66,130,197
7,28,68,135,201
7,29,68,138,203
7,30,68,147,206
7,31,69,150,207
7,32,69,146,195
7,33,66,154,207
7,34,64,161,213
7,35,65,164,217
7,36,63,168,218
7,37,59,170,218
7,38,57,179,226
7,39,56,180,229
7,40,56,182,228
7,41,53,185,227
7,42,51,191,222
7,43,52,182,207
7,44,49,190,215
7,45,47,194,214
7,46,48,193,201
7,47,49,194,197
7,48,53,196,195
7,49,54,198,193
7,50,55,195,186
7,51,58,195,182
7,52,61,195,178
7,53,65,198,174
7,54,72,188,158
7,55,76,196,158
7,56,78,198,155
7,57,80,197,152
7,58,84,196,145
7,59,88,196,140
7,60,91,197,135
7,61,94,197,132
7,62,105,197,120
7,63,111,199,115
7,64,115,199,108
7,65,119,200,103
7,66,126,198,92
7,67,132,200,87
7,68,136,201,85
7,69,139,200,83
7,70,154,200,72
7,71,169,200,63
7,72,177,198,61
7,73,183,198,59
7,74,197,196,57
7,75,204,194,55
7,76,213,192,54
7,77,208,181,56
7,78,230,188,55
7,79,235,188,56
7,80,243,186,57
7,81,250,184,59
7,82,255,187,65
7,83,255,187,67
7,84,255,187,68
7,85,255,190,69
7,86,255,194,70
7,87,255,193,71
7,88,239,187,71
7,89,252,198,70
7,90,255,210,75
7,91,254,213,75
7,92,253,217,74
7,93,251,221,74
7,94,255,226,72
7,95,255,229,73
7,96,254,230,73
7,97,253,231,74
7,98,250,232,78
7,99,235,219,80
8,0,211,211,213
8,1,255,255,255
8,2,255,255,255
8,3,255,255,255
8,4,255,255,255
8,5,255,255,255
8,6,255,255,255
8,7,255,255,255
8,8,255,255,255
8,9,255,255,255
8,10,233,233,234
8,11,211,211,213
8,12,255,255,255
8,13,255,255,255
8,14,255,255,255
8,15,255,255,255
8,16,255,255,255
8,17,255,255,255
8,18,255,255,255
8,19,255,255,255
8,20,255,255,255
8,21,255,255,255
8,22,233,233,234
8,23,255,255,255
8,24,255,255,255
8,25,255,255,255
8,26,255,255,255
8,27,255,255,255
8,28,255,255,255
