row,state,column,date,red,green,blue
0,Alabama,0,2020-01-18,197,197,199
0,Alabama,1,2020-01-25,197,197,199
0,Alabama,2,2020-02-01,167,168,171
0,Alabama,3,2020-02-08,197,197,199
0,Alabama,4,2020-02-15,197,197,199
0,Alabama,5,2020-02-22,167,168,171
0,Alabama,6,2020-02-29,219,220,221
0,Alabama,7,2020-03-07,219,220,221
0,Alabama,8,2020-03-14,197,197,199
0,Alabama,9,2020-03-21,44,46,53
0,Alabama,10,2020-03-28,44,46,53
0,Alabama,11,2020-04-04,44,46,53
0,Alabama,12,2020-04-11,44,46,53
0,Alabama,13,2020-04-18,44,46,53
0,Alabama,14,2020-04-25,44,46,53
0,Alabama,15,2020-05-02,44,46,53
0,Alabama,16,2020-05-09,124,126,130
0,Alabama,17,2020-05-16,124,126,130
0,Alabama,18,2020-05-23,124,126,130
0,Alabama,19,2020-05-30,124,126,130
0,Alabama,20,2020-06-06,69,71,77
0,Alabama,21,2020-06-13,69,71,77
0,Alabama,22,2020-06-20,69,71,77
0,Alabama,23,2020-06-27,44,46,53
0,Alabama,24,2020-07-04,44,46,53
0,Alabama,25,2020-07-11,124,126,130
0,Alabama,26,2020-07-18,69,71,77
0,Alabama,27,2020-07-25,124,126,130
0,Alabama,28,2020-08-01,69,71,77
0,Alabama,29,2020-08-08,69,71,77
0,Alabama,30,2020-08-15,69,71,77
0,Alabama,31,2020-08-22,69,71,77
0,Alabama,32,2020-08-29,69,71,77
0,Alabama,33,2020-09-05,124,126,130
0,Alabama,34,2020-09-12,124,126,130
0,Alabama,35,2020-09-19,69,71,77
0,Alabama,36,2020-09-26,124,126,130
0,Alabama,37,2020-10-03,69,71,77
0,Alabama,38,2020-10-10,69,71,77
0,Alabama,39,2020-10-17,124,126,130
0,Alabama,40,2020-10-24,69,71,77
0,Alabama,41,2020-10-31,124,126,130
0,Alabama,42,2020-11-07,69,71,77
0,Alabama,43,2020-11-14,124,126,130
0,Alabama,44,2020-11-21,69,71,77
0,Alabama,45,2020-11-28,44,46,53
0,Alabama,46,2020-12-05,44,46,53
0,Alabama,47,2020-12-12,124,126,130
0,Alabama,48,2020-12-19,69,71,77
0,Alabama,49,2020-12-26,124,126,130
0,Alabama,50,2021-01-02,69,71,77
0,Alabama,51,2021-01-09,124,126,130
0,Alabama,52,2021-01-16,69,71,77
0,Alabama,53,2021-01-23,44,46,53
0,Alabama,54,2021-01-30,44,46,53
0,Alabama,55,2021-02-06,44,46,53
0,Alabama,56,2021-02-13,44,46,53
0,Alabama,57,2021-02-20,44,46,53
0,Alabama,58,2021-02-27,44,46,53
1,Alaska,0,2020-01-18,239,239,240
1,Alaska,1,2020-01-25,255,255,255
1,Alaska,2,2020-02-01,219,220,221
1,Alaska,3,2020-02-08,219,220,221
1,Alaska,4,2020-02-15,219,220,221
1,Alaska,5,2020-02-22,219,220,221
1,Alaska,6,2020-02-29,255,255,255
1,Alaska,7,2020-03-07,219,220,221
1,Alaska,8,2020-03-14,167,168,171
1,Alaska,9,2020-03-21,44,46,53
