panel,horizon,group,group_order,estimate,lower,upper
capital_stock,0,War site,1,0.01008292,-0.04144327,0.06160911
capital_stock,1,War site,1,-0.37432521,-0.59429609,-0.15435432
capital_stock,2,War site,1,-1.05488530,-1.45914380,-0.65062679
capital_stock,3,War site,1,-1.80483020,-2.43937490,-1.17028550
capital_stock,4,War site,1,-2.62512830,-3.62886380,-1.62139280
capital_stock,5,War site,1,-3.46247570,-4.77049150,-2.15445990
capital_stock,6,War site,1,-4.05695880,-5.83012540,-2.28379210
capital_stock,7,War site,1,-4.31025540,-6.42428230,-2.19622860
capital_stock,8,War site,1,-4.50280090,-6.78463290,-2.22096900
capital_stock,0,Belligerent,2,-0.01211893,-0.06129172,0.03705386
capital_stock,1,Belligerent,2,-0.20814472,-0.41665703,0.00036759
capital_stock,2,Belligerent,2,-0.38177121,-0.69690436,-0.06663807
capital_stock,3,Belligerent,2,-0.51463623,-0.87872671,-0.15054575
capital_stock,4,Belligerent,2,-0.62900172,-1.02812380,-0.22987959
capital_stock,5,Belligerent,2,-0.72113102,-1.25166800,-0.19059405
capital_stock,6,Belligerent,2,-0.93656909,-1.61453330,-0.25860487
capital_stock,7,Belligerent,2,-1.16492840,-1.95875120,-0.37110558
capital_stock,8,Belligerent,2,-1.05513020,-1.87669240,-0.23356809
capital_stock,0,Third,3,-0.03407717,-0.11193141,0.04377707
capital_stock,1,Third,3,-0.13606629,-0.33358308,0.06145050
capital_stock,2,Third,3,-0.24243737,-0.42497393,-0.05990081
capital_stock,3,Third,3,-0.31575194,-0.50681986,-0.12468401
capital_stock,4,Third,3,-0.45713334,-0.68011035,-0.23415634
capital_stock,5,Third,3,-0.57138047,-0.86651817,-0.27624278
capital_stock,6,Third,3,-0.64568261,-1.02486590,-0.26649933
capital_stock,7,Third,3,-0.83120840,-1.36246250,-0.29995432
capital_stock,8,Third,3,-0.91295887,-1.52145170,-0.30446603
cpi,0,War site,1,1.11099510,0.05250584,2.16948440
cpi,1,War site,1,4.45356750,2.81736650,6.08976850
cpi,2,War site,1,8.26440100,6.20090050,10.32790100
cpi,3,War site,1,12.09542400,9.58626430,14.60458300
cpi,4,War site,1,15.40313200,12.58855500,18.21770800
cpi,5,War site,1,17.78132700,14.23162600,21.33102700
cpi,6,War site,1,20.64383300,15.76406900,25.52359800
cpi,7,War site,1,20.14069400,13.71487200,26.56651700
cpi,8,War site,1,19.96816600,12.01525200,27.92108000
cpi,0,Belligerent,2,0.18501014,-0.19787124,0.56789151
cpi,1,Belligerent,2,0.92683315,0.03795020,1.81571610
cpi,2,Belligerent,2,1.40554760,0.39891054,2.41218460
cpi,3,Belligerent,2,2.05039530,0.71559679,3.38519380
cpi,4,Belligerent,2,2.80884470,0.74015034,4.87753920
cpi,5,Belligerent,2,3.21866950,1.00863660,5.42870230
cpi,6,Belligerent,2,4.19872720,1.79639840,6.60105590
cpi,7,Belligerent,2,4.15159600,2.11437090,6.18882100
cpi,8,Belligerent,2,3.86724540,1.76586000,5.96863090
cpi,0,Third,3,0.19604389,-0.25561347,0.64770125
cpi,1,Third,3,0.88051854,0.11484461,1.64619250
cpi,2,Third,3,1.20269930,0.20506076,2.20033790
cpi,3,Third,3,1.99457010,0.88296921,3.10617110
cpi,4,Third,3,2.50845730,1.48603880,3.53087570
cpi,5,Third,3,2.70545740,1.48520960,3.92570520
cpi,6,Third,3,3.22278800,1.71606290,4.72951320
cpi,7,Third,3,2.55378210,0.49452932,4.61303490
cpi,8,Third,3,1.63702520,-1.10878170,4.38283200
equity,0,War site,1,-0.70428854,-2.54187920,1.13330210
equity,1,War site,1,-4.07439070,-6.88139970,-1.26738160
equity,2,War site,1,-7.84159240,-10.31578200,-5.36740300
equity,3,War site,1,-13.16928100,-15.56456800,-10.77399500
equity,4,War site,1,-14.57982000,-17.96170500,-11.19793600
equity,5,War site,1,-13.92288600,-17.52914400,-10.31662800
equity,6,War site,1,-19.78252600,-25.54613600,-14.01891700
equity,7,War site,1,-20.35155600,-29.73878000,-10.96433100
equity,8,War site,1,-16.99592600,-26.44745000,-7.54440230
equity,0,Belligerent,2,-1.80847160,-2.48727300,-1.12967030
equity,1,Belligerent,2,-2.47986220,-4.17213070,-0.78759362
equity,2,Belligerent,2,-1.61921100,-4.31329150,1.07486950
equity,3,Belligerent,2,-3.64946180,-6.55928370,-0.73963991
equity,4,Belligerent,2,-3.54616630,-7.46959590,0.37726328
equity,5,Belligerent,2,-3.42080110,-6.84854690,0.00694474
equity,6,Belligerent,2,-5.91817770,-10.31989800,-1.51645770
equity,7,Belligerent,2,-6.63537090,-10.26123300,-3.00950890
equity,8,Belligerent,2,-5.87582780,-9.12200170,-2.62965400
equity,0,Third,3,-1.57546200,-3.37644640,0.22552251
equity,1,Third,3,-2.51431330,-4.34892980,-0.67969678
equity,2,Third,3,-2.93735880,-5.67637620,-0.19834127
equity,3,Third,3,-6.32595240,-11.45654200,-1.19536270
equity,4,Third,3,-8.07054010,-12.96319500,-3.17788550
equity,5,Third,3,-7.83012390,-13.13664700,-2.52360050
equity,6,Third,3,-8.75088250,-14.51585200,-2.98591330
equity,7,Third,3,-10.13610500,-15.76425200,-4.50795920
equity,8,Third,3,-9.07237740,-14.04413800,-4.10061660
interest,0,War site,1,0.09471184,0.02209381,0.16732987
interest,1,War site,1,0.15911796,0.05706148,0.26117443
interest,2,War site,1,0.23386061,0.11188982,0.35583141
interest,3,War site,1,0.14725060,-0.01831289,0.31281410
interest,4,War site,1,0.14710409,-0.01266539,0.30687357
interest,5,War site,1,0.17606659,0.09105509,0.26107809
interest,6,War site,1,0.22159975,0.12506303,0.31813648
interest,7,War site,1,0.24552876,0.14553997,0.34551756
interest,8,War site,1,0.22171021,0.11286223,0.33055819
interest,0,Belligerent,2,0.03723993,0.00790341,0.06657644
interest,1,Belligerent,2,0.03359394,-0.01072651,0.07791440
interest,2,Belligerent,2,0.06219148,0.00429643,0.12008654
interest,3,Belligerent,2,0.08998926,0.02315107,0.15682745
interest,4,Belligerent,2,0.01708708,-0.05554469,0.08971886
interest,5,Belligerent,2,0.04643157,-0.07661196,0.16947509
interest,6,Belligerent,2,0.17983234,-0.06104364,0.42070831
interest,7,Belligerent,2,0.15543819,-0.02717759,0.33805396
interest,8,Belligerent,2,0.09241225,-0.05852342,0.24334791
interest,0,Third,3,0.00358834,-0.01998663,0.02716332
interest,1,Third,3,0.02376284,-0.04726246,0.09478813
interest,2,Third,3,0.03059245,-0.04883522,0.11002011
interest,3,Third,3,0.08168127,-0.02689433,0.19025686
interest,4,Third,3,0.08938990,-0.04225909,0.22103889
interest,5,Third,3,0.07950799,-0.08389238,0.24290836
interest,6,Third,3,0.10963486,-0.08920607,0.30847579
interest,7,Third,3,0.08998350,-0.08490034,0.26486734
interest,8,Third,3,0.05570724,-0.10070995,0.21212443
military_personnel,0,War site,1,0.25351806,0.11291340,0.39412272
military_personnel,1,War site,1,0.71226909,0.53213084,0.89240734
military_personnel,2,War site,1,0.70103640,0.48850713,0.91356567
military_personnel,3,War site,1,0.79878681,0.54692663,1.05064700
military_personnel,4,War site,1,0.82670652,0.55163681,1.10177620
military_personnel,5,War site,1,0.31697235,0.15569907,0.47824564
military_personnel,6,War site,1,0.14960522,0.04046138,0.25874907
military_personnel,7,War site,1,-0.00416800,-0.09815516,0.08981916
military_personnel,8,War site,1,0.01435230,-0.07591131,0.10461591
military_personnel,0,Belligerent,2,0.08969718,0.01104044,0.16835392
military_personnel,1,Belligerent,2,0.60515854,0.15218766,1.05812940
military_personnel,2,Belligerent,2,0.42199331,0.34721500,0.49677162
military_personnel,3,Belligerent,2,0.50068971,0.32762344,0.67375597
military_personnel,4,Belligerent,2,0.46573237,0.23700182,0.69446292
military_personnel,5,Belligerent,2,0.13871543,-0.11487980,0.39231066
military_personnel,6,Belligerent,2,0.08904531,-0.09574380,0.27383442
military_personnel,7,Belligerent,2,0.06006676,-0.04028229,0.16041581
military_personnel,8,Belligerent,2,0.03432185,-0.07881692,0.14746062
