panel,panel_order,month,estimate,lower,upper
panel_1,1,0,-0.00352501,-0.00721355,0.00016353
panel_1,1,1,-0.00413977,-0.00868897,0.00028648
panel_1,1,2,-0.00610699,-0.01139390,-0.00106599
panel_1,1,3,-0.00868897,-0.01360702,-0.00377092
panel_1,1,4,-0.00758241,-0.01286932,-0.00229550
panel_1,1,5,-0.00709060,-0.01237751,-0.00204960
panel_1,1,6,-0.00795126,-0.01323817,-0.00229550
panel_1,1,7,-0.00696765,-0.01262341,-0.00118894
panel_1,1,8,-0.00610699,-0.01163980,-0.00045123
panel_1,1,9,-0.00500043,-0.01102505,0.00114714
panel_1,1,10,-0.00413977,-0.01016439,0.00176189
panel_1,1,11,-0.00549224,-0.01151685,0.00028648
panel_1,1,12,-0.00407830,-0.01041029,0.00200780
panel_1,1,13,-0.00192665,-0.00745946,0.00336026
panel_1,1,14,-0.00229550,-0.00758241,0.00299141
panel_1,1,15,-0.00143484,-0.00672175,0.00360616
panel_1,1,16,-0.00131189,-0.00598404,0.00348321
panel_1,1,17,-0.00155779,-0.00610699,0.00299141
panel_1,1,18,-0.00094304,-0.00573814,0.00348321
panel_1,1,19,-0.00069713,-0.00500043,0.00360616
panel_1,1,20,-0.00118894,-0.00536928,0.00311436
panel_1,1,21,-0.00063566,-0.00475453,0.00323731
panel_1,1,22,-0.00057418,-0.00413977,0.00311436
panel_1,1,23,-0.00082009,-0.00426272,0.00262255
panel_1,1,24,-0.00045123,-0.00377092,0.00262255
panel_1,1,25,-0.00069713,-0.00364797,0.00237665
panel_1,1,26,-0.00057418,-0.00352501,0.00200780
panel_1,1,27,-0.00045123,-0.00303321,0.00213075
panel_1,1,28,-0.00051271,-0.00291026,0.00188484
panel_1,1,29,-0.00032828,-0.00266436,0.00188484
panel_1,1,30,-0.00020533,-0.00229550,0.00188484
panel_1,1,31,-0.00008238,-0.00217255,0.00188484
panel_1,1,32,0.00004057,-0.00192665,0.00200780
panel_1,1,33,0.00016353,-0.00168074,0.00213075
panel_1,1,34,0.00028648,-0.00155779,0.00225370
panel_1,1,35,0.00053238,-0.00143484,0.00249960
panel_1,1,36,0.00071681,-0.00106599,0.00249960
panel_2,2,0,0.00047090,-0.00008238,0.00102418
panel_2,2,1,0.00016353,-0.00082009,0.00102418
panel_2,2,2,-0.00045123,-0.00168074,0.00065533
