panel,x,series,series_order,value
pdf,0.000000,AMC 12 100+,1,0.000000
pdf,0.040000,AMC 12 100+,1,0.197649
pdf,0.080000,AMC 12 100+,1,0.358397
pdf,0.120000,AMC 12 100+,1,0.487411
pdf,0.160000,AMC 12 100+,1,0.589214
pdf,0.200000,AMC 12 100+,1,0.667763
pdf,0.240000,AMC 12 100+,1,0.726512
pdf,0.280000,AMC 12 100+,1,0.768473
pdf,0.320000,AMC 12 100+,1,0.796269
pdf,0.360000,AMC 12 100+,1,0.812178
pdf,0.400000,AMC 12 100+,1,0.818178
pdf,0.440000,AMC 12 100+,1,0.815980
pdf,0.480000,AMC 12 100+,1,0.807063
pdf,0.520000,AMC 12 100+,1,0.792700
pdf,0.560000,AMC 12 100+,1,0.773985
pdf,0.600000,AMC 12 100+,1,0.751856
pdf,0.640000,AMC 12 100+,1,0.727114
pdf,0.680000,AMC 12 100+,1,0.700440
pdf,0.720000,AMC 12 100+,1,0.672409
pdf,0.760000,AMC 12 100+,1,0.643508
pdf,0.800000,AMC 12 100+,1,0.614143
pdf,0.840000,AMC 12 100+,1,0.584652
pdf,0.880000,AMC 12 100+,1,0.555316
pdf,0.920000,AMC 12 100+,1,0.526362
pdf,0.960000,AMC 12 100+,1,0.497975
pdf,1.000000,AMC 12 100+,1,0.470300
pdf,1.040000,AMC 12 100+,1,0.443453
pdf,1.080000,AMC 12 100+,1,0.417520
pdf,1.120000,AMC 12 100+,1,0.392564
pdf,1.160000,AMC 12 100+,1,0.368629
pdf,1.200000,AMC 12 100+,1,0.345742
pdf,1.240000,AMC 12 100+,1,0.323915
pdf,1.280000,AMC 12 100+,1,0.303151
pdf,1.320000,AMC 12 100+,1,0.283441
pdf,1.360000,AMC 12 100+,1,0.264768
pdf,1.400000,AMC 12 100+,1,0.247112
pdf,1.440000,AMC 12 100+,1,0.230445
pdf,1.480000,AMC 12 100+,1,0.214737
pdf,1.520000,AMC 12 100+,1,0.199953
pdf,1.560000,AMC 12 100+,1,0.186058
pdf,1.600000,AMC 12 100+,1,0.173014
pdf,1.640000,AMC 12 100+,1,0.160785
pdf,1.680000,AMC 12 100+,1,0.149331
pdf,1.720000,AMC 12 100+,1,0.138614
pdf,1.760000,AMC 12 100+,1,0.128597
pdf,1.800000,AMC 12 100+,1,0.119242
pdf,1.840000,AMC 12 100+,1,0.110513
pdf,1.880000,AMC 12 100+,1,0.102375
pdf,1.920000,AMC 12 100+,1,0.094793
pdf,1.960000,AMC 12 100+,1,0.087735
pdf,2.000000,AMC 12 100+,1,0.081168
pdf,0.000000,2.5% Parametric bound,2,0.240000
pdf,0.040000,2.5% Parametric bound,2,0.441987
pdf,0.080000,2.5% Parametric bound,2,0.607106
pdf,0.120000,2.5% Parametric bound,2,0.740524
pdf,0.160000,2.5% Parametric bound,2,0.846766
pdf,0.200000,2.5% Parametric bound,2,0.929786
pdf,0.240000,2.5% Parametric bound,2,0.993039
pdf,0.280000,2.5% Parametric bound,2,1.039536
pdf,0.320000,2.5% Parametric bound,2,1.071900
pdf,0.360000,2.5% Parametric bound,2,1.092409
pdf,0.400000,2.5% Parametric bound,2,1.103039
pdf,0.440000,2.5% Parametric bound,2,1.105502
pdf,0.480000,2.5% Parametric bound,2,1.101276
pdf,0.520000,2.5% Parametric bound,2,1.091634
pdf,0.560000,2.5% Parametric bound,2,1.077670
pdf,0.600000,2.5% Parametric bound,2,1.060321
pdf,0.640000,2.5% Parametric bound,2,1.040388
pdf,0.680000,2.5% Parametric bound,2,1.018551
pdf,0.720000,2.5% Parametric bound,2,0.995385
pdf,0.760000,2.5% Parametric bound,2,0.971378
pdf,0.800000,2.5% Parametric bound,2,0.946933
pdf,0.840000,2.5% Parametric bound,2,0.922391
pdf,0.880000,2.5% Parametric bound,2,0.898030
pdf,0.920000,2.5% Parametric bound,2,0.874077
pdf,0.960000,2.5% Parametric bound,2,0.850717
pdf,1.000000,2.5% Parametric bound,2,0.828096
pdf,1.040000,2.5% Parametric bound,2,0.806328
pdf,1.080000,2.5% Parametric bound,2,0.785500
pdf,1.120000,2.5% Parametric bound,2,0.765674
pdf,1.160000,2.5% Parametric bound,2,0.746893
pdf,1.200000,2.5% Parametric bound,2,0.729184
pdf,1.240000,2.5% Parametric bound,2,0.712560
pdf,1.280000,2.5% Parametric bound,2,0.697023
pdf,1.320000,2.5% Parametric bound,2,0.682562
pdf,1.360000,2.5% Parametric bound,2,0.669163
pdf,1.400000,2.5% Parametric bound,2,0.656804
pdf,1.440000,2.5% Parametric bound,2,0.645456
pdf,1.480000,2.5% Parametric bound,2,0.635088
pdf,1.520000,2.5% Parametric bound,2,0.625668
pdf,1.560000,2.5% Parametric bound,2,0.617159
pdf,1.600000,2.5% Parametric bound,2,0.609522
pdf,1.640000,2.5% Parametric bound,2,0.602721
pdf,1.680000,2.5% Parametric bound,2,0.596717
pdf,1.720000,2.5% Parametric bound,2,0.591471
pdf,1.760000,2.5% Parametric bound,2,0.586945
pdf,1.800000,2.5% Parametric bound,2,0.583102
pdf,1.840000,2.5% Parametric bound,2,0.579905
pdf,1.880000,2.5% Parametric bound,2,0.577318
pdf,1.920000,2.5% Parametric bound,2,0.575307
pdf,1.960000,2.5% Parametric bound,2,0.573839
