quantile,estimate,inner_lower,inner_upper,outer_lower,outer_upper
5,0.29761905,-0.15476190,0.74404762,-0.24404762,0.82142857
6,0.45833333,0.03571429,0.83928571,-0.03571429,0.91071429
7,0.43452381,0.11904762,0.77380952,0.05952381,0.83928571
8,0.38095238,0.10714286,0.67261905,0.05357143,0.72619048
9,0.38690476,0.12500000,0.64880952,0.07738095,0.69642857
10,0.36309524,0.13095238,0.59523810,0.08928571,0.64285714
11,0.35119048,0.11309524,0.58333333,0.07142857,0.62500000
12,0.32738095,0.10119048,0.55357143,0.05952381,0.59523810
13,0.35119048,0.13690476,0.55952381,0.09523810,0.60119048
14,0.36309524,0.16666667,0.55952381,0.12500000,0.59523810
15,0.33333333,0.14880952,0.51785714,0.11309524,0.55357143
16,0.28273810,0.10119048,0.47023810,0.06547619,0.50595238
17,0.22619048,0.07738095,0.39285714,0.04761905,0.42261905
18,0.23214286,0.08928571,0.37500000,0.05952381,0.40476190
19,0.18452381,0.04166667,0.32738095,0.01785714,0.35119048
20,0.15476190,0.02380952,0.28571429,0.01190476,0.30952381
21,0.14880952,0.02380952,0.27976190,0.01190476,0.30357143
22,0.13690476,0.01190476,0.26785714,-0.01785714,0.29166667
23,0.14880952,0.01785714,0.28571429,-0.00595238,0.30952381
24,0.17857143,0.04761905,0.30952381,0.02380952,0.33333333
25,0.16666667,0.03571429,0.29166667,0.01785714,0.31547619
26,0.14880952,0.02380952,0.27380952,0.01190476,0.29761905
27,0.13095238,0.01190476,0.25595238,-0.01190476,0.27976190
28,0.10714286,0.01190476,0.22023810,-0.02380952,0.24404762
29,0.10714286,0.01190476,0.20833333,-0.01785714,0.23214286
30,0.08928571,-0.01785714,0.19642857,-0.03571429,0.21428571
31,0.06547619,-0.03571429,0.17261905,-0.05952381,0.19642857
32,0.05952381,-0.04166667,0.16666667,-0.06547619,0.18452381
33,0.06250000,-0.04761905,0.17261905,-0.06547619,0.19047619
34,0.06845238,-0.04166667,0.17857143,-0.05952381,0.19642857
35,0.04761905,-0.06547619,0.16071429,-0.08333333,0.18452381
36,0.04761905,-0.05952381,0.15476190,-0.08333333,0.17857143
37,0.05952381,-0.04761905,0.16071429,-0.06547619,0.17857143
38,0.04166667,-0.05952381,0.14880952,-0.07738095,0.16666667
39,0.05357143,-0.04761905,0.14880952,-0.06547619,0.16666667
40,0.04761905,-0.05952381,0.15476190,-0.07738095,0.17261905
41,0.05952381,-0.04761905,0.16071429,-0.06547619,0.18452381
42,0.04761905,-0.05952381,0.15476190,-0.07738095,0.17261905
43,0.04166667,-0.05952381,0.14880952,-0.08333333,0.16666667
44,0.02976190,-0.07142857,0.13690476,-0.09523810,0.15476190
45,0.01785714,-0.08333333,0.12500000,-0.10714286,0.14285714
46,0.01190476,-0.08928571,0.11309524,-0.10714286,0.13095238
47,-0.00595238,-0.10119048,0.10714286,-0.11904762,0.12500000
48,-0.00595238,-0.10714286,0.10714286,-0.12500000,0.13095238
49,0.01190476,-0.10119048,0.11904762,-0.12500000,0.13690476
50,0.01488095,-0.09523810,0.11904762,-0.11309524,0.13690476
