panel,year,series,series_order,axis,value
march,1963,Overall 90/10,1,left,0.940000
march,1964,Overall 90/10,1,left,0.986667
march,1965,Overall 90/10,1,left,1.033333
march,1966,Overall 90/10,1,left,1.080000
march,1967,Overall 90/10,1,left,1.090000
march,1968,Overall 90/10,1,left,1.100000
march,1969,Overall 90/10,1,left,1.110000
march,1970,Overall 90/10,1,left,1.120000
march,1971,Overall 90/10,1,left,1.156667
march,1972,Overall 90/10,1,left,1.193333
march,1973,Overall 90/10,1,left,1.230000
march,1974,Overall 90/10,1,left,1.202500
march,1975,Overall 90/10,1,left,1.175000
march,1976,Overall 90/10,1,left,1.147500
march,1977,Overall 90/10,1,left,1.120000
march,1978,Overall 90/10,1,left,1.050000
march,1979,Overall 90/10,1,left,0.980000
march,1980,Overall 90/10,1,left,0.910000
march,1981,Overall 90/10,1,left,0.935000
march,1982,Overall 90/10,1,left,0.960000
march,1983,Overall 90/10,1,left,0.985000
march,1984,Overall 90/10,1,left,1.010000
march,1985,Overall 90/10,1,left,1.040000
march,1986,Overall 90/10,1,left,1.070000
march,1987,Overall 90/10,1,left,1.100000
march,1988,Overall 90/10,1,left,1.130000
march,1989,Overall 90/10,1,left,1.185000
march,1990,Overall 90/10,1,left,1.240000
march,1991,Overall 90/10,1,left,1.295000
march,1992,Overall 90/10,1,left,1.350000
march,1993,Overall 90/10,1,left,1.460000
march,1994,Overall 90/10,1,left,1.570000
march,1995,Overall 90/10,1,left,1.557500
march,1996,Overall 90/10,1,left,1.545000
march,1997,Overall 90/10,1,left,1.532500
march,1998,Overall 90/10,1,left,1.520000
march,1999,Overall 90/10,1,left,1.540000
march,2000,Overall 90/10,1,left,1.560000
march,2001,Overall 90/10,1,left,1.580000
march,2002,Overall 90/10,1,left,1.600000
march,2003,Overall 90/10,1,left,1.620000
march,2004,Overall 90/10,1,left,1.640000
march,2005,Overall 90/10,1,left,1.660000
march,1963,College/HS Gap,2,right,0.400000
march,1964,College/HS Gap,2,right,0.410000
march,1965,College/HS Gap,2,right,0.420000
march,1966,College/HS Gap,2,right,0.430000
march,1967,College/HS Gap,2,right,0.437500
march,1968,College/HS Gap,2,right,0.445000
march,1969,College/HS Gap,2,right,0.452500
march,1970,College/HS Gap,2,right,0.460000
march,1971,College/HS Gap,2,right,0.457500
march,1972,College/HS Gap,2,right,0.455000
march,1973,College/HS Gap,2,right,0.452500
march,1974,College/HS Gap,2,right,0.450000
march,1975,College/HS Gap,2,right,0.445000
march,1976,College/HS Gap,2,right,0.440000
march,1977,College/HS Gap,2,right,0.435000
march,1978,College/HS Gap,2,right,0.430000
march,1979,College/HS Gap,2,right,0.443333
march,1980,College/HS Gap,2,right,0.456667
march,1981,College/HS Gap,2,right,0.470000
march,1982,College/HS Gap,2,right,0.482500
march,1983,College/HS Gap,2,right,0.495000
march,1984,College/HS Gap,2,right,0.507500
