year,import_penetration,manufacturing_emp_population
1987,0.002000,0.134000
1988,0.003000,0.135000
1989,0.004000,0.136000
1990,0.005000,0.131750
1991,0.006333,0.127500
1992,0.007667,0.123250
1993,0.009000,0.119000
1994,0.010167,0.120000
1995,0.011333,0.121000
1996,0.012500,0.120000
1997,0.014167,0.119000
1998,0.015833,0.118000
1999,0.017500,0.115000
2000,0.019750,0.112000
2001,0.022000,0.104000
2002,0.025500,0.096000
2003,0.029000,0.092000
2004,0.034500,0.088000
2005,0.040000,0.085000
2006,0.043500,0.083000
2007,0.047000,0.081000
