year,employment_million,real_value_added_billion
1948,14.400000,260.000000
1949,13.800000,292.500000
1950,13.200000,325.000000
1951,14.200000,357.500000
1952,15.200000,390.000000
1953,16.200000,395.000000
1954,16.120000,400.000000
1955,16.040000,405.000000
1956,15.960000,410.000000
1957,15.880000,415.000000
1958,15.800000,420.000000
1959,15.700000,440.000000
1960,15.600000,460.000000
1961,15.500000,480.000000
1962,15.400000,500.000000
1963,15.575000,533.333333
1964,15.750000,566.666667
1965,15.925000,600.000000
1966,16.100000,633.333333
1967,16.675000,666.666667
1968,17.250000,700.000000
1969,17.825000,712.000000
1970,18.400000,724.000000
1971,17.933333,736.000000
1972,17.466667,748.000000
1973,17.000000,760.000000
1974,17.500000,774.000000
1975,18.000000,788.000000
1976,18.500000,802.000000
1977,18.766667,816.000000
1978,19.033333,830.000000
1979,19.300000,834.000000
1980,18.400000,838.000000
1981,17.500000,842.000000
1982,16.600000,846.000000
1983,16.900000,850.000000
1984,17.200000,880.000000
1985,17.500000,910.000000
1986,17.800000,940.000000
1987,17.725000,970.000000
1988,17.650000,1000.000000
1989,17.575000,1024.000000
1990,17.500000,1048.000000
1991,17.300000,1072.000000
1992,17.100000,1096.000000
1993,16.900000,1120.000000
1994,16.700000,1156.000000
1995,16.875000,1192.000000
1996,17.050000,1228.000000
1997,17.225000,1264.000000
1998,17.400000,1300.000000
1999,17.233333,1324.000000
2000,17.066667,1348.000000
2001,16.900000,1372.000000
2002,16.033333,1396.000000
2003,15.166667,1420.000000
2004,14.300000,1460.000000
2005,14.125000,1500.000000
2006,13.950000,1540.000000
2007,13.775000,1580.000000
2008,13.600000,1605.000000
2009,12.500000,1630.000000
2010,11.400000,1570.000000
