block,panel_order,title,month,estimate,lower,upper,ymin,ymax,step
0,1,Log Value,-6,-0.2,-0.4,0.0,-4.3,0.2,1.0
0,1,Log Value,-5,-0.3,-0.65,0.1,-4.3,0.2,1.0
0,1,Log Value,-4,-0.15,-0.55,0.2,-4.3,0.2,1.0
0,1,Log Value,-3,-0.2,-0.5,0.15,-4.3,0.2,1.0
0,1,Log Value,-2,-0.5,-0.9,0.0,-4.3,0.2,1.0
0,1,Log Value,-1,-0.15,-0.45,0.1,-4.3,0.2,1.0
0,1,Log Value,0,-1.75,-2.2,-1.2,-4.3,0.2,1.0
0,1,Log Value,1,-2.2,-2.75,-1.6,-4.3,0.2,1.0
0,1,Log Value,2,-1.5,-2.0,-1.1,-4.3,0.2,1.0
0,1,Log Value,3,-2.75,-3.45,-2.05,-4.3,0.2,1.0
0,1,Log Value,4,-2.45,-3.35,-1.65,-4.3,0.2,1.0
0,1,Log Value,5,-2.9,-3.8,-2.05,-4.3,0.2,1.0
0,1,Log Value,6,-2.15,-3.05,-1.3,-4.3,0.2,1.0
0,2,Log Quantity,-6,-0.1,-0.4,0.2,-4.3,0.35,1.0
0,2,Log Quantity,-5,-0.3,-0.75,0.2,-4.3,0.35,1.0
0,2,Log Quantity,-4,-0.35,-0.8,0.2,-4.3,0.35,1.0
0,2,Log Quantity,-3,-0.3,-0.75,0.2,-4.3,0.35,1.0
0,2,Log Quantity,-2,-0.5,-1.2,0.2,-4.3,0.35,1.0
0,2,Log Quantity,-1,-0.25,-0.75,0.35,-4.3,0.35,1.0
0,2,Log Quantity,0,-1.75,-2.4,-1.1,-4.3,0.35,1.0
0,2,Log Quantity,1,-2.15,-2.75,-1.4,-4.3,0.35,1.0
0,2,Log Quantity,2,-1.5,-2.25,-0.9,-4.3,0.35,1.0
0,2,Log Quantity,3,-2.8,-3.7,-1.85,-4.3,0.35,1.0
0,2,Log Quantity,4,-2.4,-3.5,-1.3,-4.3,0.35,1.0
0,2,Log Quantity,5,-2.75,-4.0,-1.65,-4.3,0.35,1.0
0,2,Log Quantity,6,-2.2,-3.6,-1.1,-4.3,0.35,1.0
0,3,Log Unit Value,-6,-0.6,-2.5,1.5,-5.2,6.4,2.0
0,3,Log Unit Value,-5,-0.8,-2.5,1.2,-5.2,6.4,2.0
0,3,Log Unit Value,-4,0.6,-1.3,2.5,-5.2,6.4,2.0
0,3,Log Unit Value,-3,-1.4,-4.0,1.3,-5.2,6.4,2.0
0,3,Log Unit Value,-2,-0.2,-3.3,2.8,-5.2,6.4,2.0
0,3,Log Unit Value,-1,-1.2,-4.3,2.0,-5.2,6.4,2.0
0,3,Log Unit Value,0,-0.6,-3.8,2.6,-5.2,6.4,2.0
0,3,Log Unit Value,1,-1.2,-4.5,2.3,-5.2,6.4,2.0
0,3,Log Unit Value,2,0.7,-2.8,4.3,-5.2,6.4,2.0
0,3,Log Unit Value,3,0.9,-2.8,4.6,-5.2,6.4,2.0
0,3,Log Unit Value,4,-0.1,-3.5,4.7,-5.2,6.4,2.0
0,3,Log Unit Value,5,0.1,-3.7,3.8,-5.2,6.4,2.0
0,3,Log Unit Value,6,1.0,-3.7,5.8,-5.2,6.4,2.0
0,4,Log Duty-Inclusive Unit Value,-6,-0.05,-0.22,0.15,-0.62,1.58,0.5
0,4,Log Duty-Inclusive Unit Value,-5,-0.05,-0.22,0.12,-0.62,1.58,0.5
0,4,Log Duty-Inclusive Unit Value,-4,0.08,-0.1,0.25,-0.62,1.58,0.5
0,4,Log Duty-Inclusive Unit Value,-3,-0.12,-0.38,0.12,-0.62,1.58,0.5
0,4,Log Duty-Inclusive Unit Value,-2,0.08,-0.27,0.4,-0.62,1.58,0.5
0,4,Log Duty-Inclusive Unit Value,-1,-0.15,-0.46,0.18,-0.62,1.58,0.5
0,4,Log Duty-Inclusive Unit Value,0,0.5,0.2,0.82,-0.62,1.58,0.5
0,4,Log Duty-Inclusive Unit Value,1,0.65,0.28,0.95,-0.62,1.58,0.5
0,4,Log Duty-Inclusive Unit Value,2,0.85,0.42,1.25,-0.62,1.58,0.5
0,4,Log Duty-Inclusive Unit Value,3,0.88,0.45,1.28,-0.62,1.58,0.5
0,4,Log Duty-Inclusive Unit Value,4,0.78,0.4,1.2,-0.62,1.58,0.5
0,4,Log Duty-Inclusive Unit Value,5,0.8,0.36,1.23,-0.62,1.58,0.5
0,4,Log Duty-Inclusive Unit Value,6,0.88,0.3,1.42,-0.62,1.58,0.5
1,1,Log Value,-6,0.0,-0.22,0.23,-1.22,1.35,0.5
1,1,Log Value,-5,0.16,-0.16,0.5,-1.22,1.35,0.5
1,1,Log Value,-4,0.1,-0.26,0.49,-1.22,1.35,0.5
1,1,Log Value,-3,0.12,-0.23,0.53,-1.22,1.35,0.5
1,1,Log Value,-2,0.3,-0.1,0.8,-1.22,1.35,0.5
1,1,Log Value,-1,0.7,0.16,1.17,-1.22,1.35,0.5
1,1,Log Value,0,-0.34,-0.94,0.23,-1.22,1.35,0.5
1,1,Log Value,1,-0.28,-0.83,0.26,-1.22,1.35,0.5
1,1,Log Value,2,0.24,-0.31,0.79,-1.22,1.35,0.5
1,1,Log Value,3,-0.47,-1.07,0.11,-1.22,1.35,0.5
1,1,Log Value,4,-0.43,-0.98,0.12,-1.22,1.35,0.5
1,1,Log Value,5,-0.55,-1.05,-0.03,-1.22,1.35,0.5
1,1,Log Value,6,-0.31,-0.88,0.25,-1.22,1.35,0.5
1,2,Log Quantity,-6,-0.05,-0.4,0.34,-2.22,2.12,1.0
1,2,Log Quantity,-5,0.14,-0.45,0.83,-2.22,2.12,1.0
1,2,Log Quantity,-4,0.12,-0.49,0.86,-2.22,2.12,1.0
1,2,Log Quantity,-3,0.06,-0.58,0.66,-2.22,2.12,1.0
1,2,Log Quantity,-2,0.36,-0.57,1.14,-2.22,2.12,1.0
1,2,Log Quantity,-1,0.55,-0.24,1.32,-2.22,2.12,1.0
1,2,Log Quantity,0,-0.51,-1.39,0.43,-2.22,2.12,1.0
1,2,Log Quantity,1,-0.1,-1.06,0.99,-2.22,2.12,1.0
1,2,Log Quantity,2,0.5,-0.69,1.56,-2.22,2.12,1.0
1,2,Log Quantity,3,-0.77,-1.67,0.38,-2.22,2.12,1.0
1,2,Log Quantity,4,-0.13,-1.01,0.75,-2.22,2.12,1.0
1,2,Log Quantity,5,-0.94,-1.85,0.03,-2.22,2.12,1.0
1,2,Log Quantity,6,-0.48,-1.52,0.61,-2.22,2.12,1.0
1,3,Log Unit Value,-6,0.0,-0.34,0.33,-1.12,1.18,0.5
1,3,Log Unit Value,-5,0.08,-0.32,0.47,-1.12,1.18,0.5
