panel,kind,label,automation_exposure,routine_exposure
Panel A. 1940-1980 Average,background,,20.370185671134443,34.824639878447954
Panel A. 1940-1980 Average,background,,49.37439493690896,60.08031657026589
Panel A. 1940-1980 Average,background,,59.60105626459475,60.40854446656259
Panel A. 1940-1980 Average,background,,47.21728697204658,54.44679118589083
Panel A. 1940-1980 Average,background,,38.63040502057306,52.78848197759375
Panel A. 1940-1980 Average,background,,38.89652628843192,96.84694183062098
Panel A. 1940-1980 Average,background,,76.79909301067038,52.63937751483206
Panel A. 1940-1980 Average,background,,75.0104465669338,99.0
Panel A. 1940-1980 Average,background,,69.3207813481623,60.246971619260094
Panel A. 1940-1980 Average,background,,88.8333434906545,41.90736811814322
Panel A. 1940-1980 Average,background,,31.38686684939961,53.081712969013935
Panel A. 1940-1980 Average,background,,44.28721991983503,40.30622139944775
Panel A. 1940-1980 Average,background,,13.017754290524541,1.0
Panel A. 1940-1980 Average,background,,29.847986869966682,16.334192446018754
Panel A. 1940-1980 Average,background,,50.92352277681539,54.93678137636179
Panel A. 1940-1980 Average,background,,94.14276727028833,78.35819052607233
Panel A. 1940-1980 Average,background,,74.16835103298631,69.93229694818099
Panel A. 1940-1980 Average,background,,5.927009265020278,27.07715235244917
Panel A. 1940-1980 Average,background,,77.94074653249487,88.30556970447992
Panel A. 1940-1980 Average,background,,53.28075434466767,38.399068159504175
Panel A. 1940-1980 Average,background,,27.654992581936078,41.023984426145304
Panel A. 1940-1980 Average,background,,20.167670218544465,30.5305821655619
Panel A. 1940-1980 Average,background,,8.440965055177063,1.0
Panel A. 1940-1980 Average,background,,98.32351172424836,21.843013181311704
Panel A. 1940-1980 Average,background,,96.0047583480925,82.9868449873838
Panel A. 1940-1980 Average,background,,46.443253022309925,51.17564191126262
Panel A. 1940-1980 Average,background,,48.55603828390819,44.72947272246382
Panel A. 1940-1980 Average,background,,48.82645189418624,74.47827938310496
Panel A. 1940-1980 Average,background,,92.51444611355447,76.0780305924163
Panel A. 1940-1980 Average,background,,18.575322968774767,44.26790057861609
Panel A. 1940-1980 Average,background,,84.41249855975708,62.24977368601019
Panel A. 1940-1980 Average,background,,36.69634848456995,32.006146268836574
Panel A. 1940-1980 Average,background,,10.142522900638784,7.7610637945759535
Panel A. 1940-1980 Average,background,,92.0229744818896,49.523086507831025
Panel A. 1940-1980 Average,background,,71.52045626836279,74.77397261281921
Panel A. 1940-1980 Average,background,,41.0496609239842,70.95728401676524
Panel A. 1940-1980 Average,background,,97.50630147342146,31.848747627217115
Panel A. 1940-1980 Average,background,,93.0701995243584,72.73081715978937
Panel A. 1940-1980 Average,background,,60.285512439969935,20.94573648394295
Panel A. 1940-1980 Average,background,,46.20496873284941,70.32329791704184
Panel A. 1940-1980 Average,background,,57.008150471090545,72.84962503676093
Panel A. 1940-1980 Average,background,,28.95479154389905,18.56806602615148
Panel A. 1940-1980 Average,background,,51.77375770139996,30.64075902823432
Panel A. 1940-1980 Average,background,,9.884875334435783,68.33236452620983
