series,age,cumulative_frequency
SMALL MARKET,1,0.0
SMALL MARKET,2,17.5
SMALL MARKET,3,35.0
SMALL MARKET,4,47.5
SMALL MARKET,5,60.0
SMALL MARKET,6,77.5
SMALL MARKET,7,95.0
SMALL MARKET,8,112.5
SMALL MARKET,9,130.0
SMALL MARKET,10,175.0
SMALL MARKET,11,195.0
SMALL MARKET,12,215.0
SMALL MARKET,13,225.0
SMALL MARKET,14,235.0
SMALL MARKET,15,245.0
SMALL MARKET,16,261.6666666666667
SMALL MARKET,17,278.3333333333333
SMALL MARKET,18,295.0
SMALL MARKET,19,302.5
SMALL MARKET,20,310.0
SMALL MARKET,21,317.5
SMALL MARKET,22,325.0
SMALL MARKET,23,328.0
SMALL MARKET,24,331.0
SMALL MARKET,25,334.0
SMALL MARKET,26,337.0
SMALL MARKET,27,340.0
SMALL MARKET,28,343.75
SMALL MARKET,29,347.5
SMALL MARKET,30,351.25
SMALL MARKET,31,355.0
SMALL MARKET,32,357.42857142857144
SMALL MARKET,33,359.85714285714283
SMALL MARKET,34,362.2857142857143
SMALL MARKET,35,364.7142857142857
SMALL MARKET,36,367.14285714285717
SMALL MARKET,37,369.57142857142856
SMALL MARKET,38,372.0
SMALL MARKET,39,372.7142857142857
SMALL MARKET,40,373.42857142857144
SMALL MARKET,41,374.14285714285717
SMALL MARKET,42,374.85714285714283
SMALL MARKET,43,375.57142857142856
SMALL MARKET,44,376.2857142857143
SMALL MARKET,45,377.0
SMALL MARKET,46,377.1333333333333
SMALL MARKET,47,377.26666666666665
SMALL MARKET,48,377.4
SMALL MARKET,49,377.53333333333336
SMALL MARKET,50,377.6666666666667
SMALL MARKET,51,377.8
SMALL MARKET,52,377.93333333333334
SMALL MARKET,53,378.06666666666666
SMALL MARKET,54,378.2
SMALL MARKET,55,378.3333333333333
SMALL MARKET,56,378.46666666666664
SMALL MARKET,57,378.6
SMALL MARKET,58,378.73333333333335
SMALL MARKET,59,378.8666666666667
SMALL MARKET,60,379.0
LARGE MARKET,1,12.0
LARGE MARKET,2,41.0
LARGE MARKET,3,70.0
LARGE MARKET,4,92.5
LARGE MARKET,5,115.0
LARGE MARKET,6,145.0
LARGE MARKET,7,175.0
LARGE MARKET,8,192.5
LARGE MARKET,9,210.0
LARGE MARKET,10,260.0
LARGE MARKET,11,272.5
LARGE MARKET,12,285.0
LARGE MARKET,13,293.3333333333333
LARGE MARKET,14,301.6666666666667
LARGE MARKET,15,310.0
LARGE MARKET,16,316.6666666666667
LARGE MARKET,17,323.3333333333333
LARGE MARKET,18,330.0
LARGE MARKET,19,332.5
LARGE MARKET,20,335.0
LARGE MARKET,21,337.5
LARGE MARKET,22,340.0
LARGE MARKET,23,342.4
LARGE MARKET,24,344.8
LARGE MARKET,25,347.2
LARGE MARKET,26,349.6
LARGE MARKET,27,352.0
LARGE MARKET,28,355.25
LARGE MARKET,29,358.5
LARGE MARKET,30,361.75
LARGE MARKET,31,365.0
LARGE MARKET,32,366.2857142857143
LARGE MARKET,33,367.57142857142856
LARGE MARKET,34,368.85714285714283
LARGE MARKET,35,370.14285714285717
LARGE MARKET,36,371.42857142857144
LARGE MARKET,37,372.7142857142857
LARGE MARKET,38,374.0
LARGE MARKET,39,374.42857142857144
LARGE MARKET,40,374.85714285714283
LARGE MARKET,41,375.2857142857143
LARGE MARKET,42,375.7142857142857
LARGE MARKET,43,376.14285714285717
LARGE MARKET,44,376.57142857142856
LARGE MARKET,45,377.0
LARGE MARKET,46,377.1333333333333
LARGE MARKET,47,377.26666666666665
LARGE MARKET,48,377.4
LARGE MARKET,49,377.53333333333336
LARGE MARKET,50,377.6666666666667
LARGE MARKET,51,377.8
LARGE MARKET,52,377.93333333333334
LARGE MARKET,53,378.06666666666666
LARGE MARKET,54,378.2
LARGE MARKET,55,378.3333333333333
LARGE MARKET,56,378.46666666666664
LARGE MARKET,57,378.6
LARGE MARKET,58,378.73333333333335
LARGE MARKET,59,378.8666666666667
LARGE MARKET,60,379.0
