panel,series,x,y
Rejection rate,naive IV,-0.052,0.45
Rejection rate,naive IV,-0.035,0.24
Rejection rate,naive IV,-0.018,0.09
Rejection rate,naive IV,-0.009,0.055
Rejection rate,naive IV,0.0,0.025
Rejection rate,naive IV,0.009,0.04
Rejection rate,naive IV,0.018,0.085
Rejection rate,naive IV,0.035,0.24
Rejection rate,naive IV,0.052,0.43
Rejection rate,preferred IV,-0.052,0.67
Rejection rate,preferred IV,-0.035,0.485
Rejection rate,preferred IV,-0.018,0.19
Rejection rate,preferred IV,-0.009,0.08
Rejection rate,preferred IV,0.0,0.04
Rejection rate,preferred IV,0.009,0.085
Rejection rate,preferred IV,0.018,0.185
Rejection rate,preferred IV,0.035,0.49
Rejection rate,preferred IV,0.052,0.67
Mean goodness of fit,naive IV,-0.052,0.052
Mean goodness of fit,naive IV,-0.035,0.035
Mean goodness of fit,naive IV,-0.018,0.018
Mean goodness of fit,naive IV,-0.009,0.009
Mean goodness of fit,naive IV,0.0,-0.0
Mean goodness of fit,naive IV,0.009,-0.009
Mean goodness of fit,naive IV,0.018,-0.018
Mean goodness of fit,naive IV,0.035,-0.035
Mean goodness of fit,naive IV,0.052,-0.052
Mean goodness of fit,preferred IV,-0.052,-0.052
Mean goodness of fit,preferred IV,-0.035,-0.035
Mean goodness of fit,preferred IV,-0.018,-0.018
Mean goodness of fit,preferred IV,-0.009,-0.009
Mean goodness of fit,preferred IV,0.0,0.0
Mean goodness of fit,preferred IV,0.009,0.009
Mean goodness of fit,preferred IV,0.018,0.018
Mean goodness of fit,preferred IV,0.035,0.035
Mean goodness of fit,preferred IV,0.052,0.052
