panel,kind,series,x,y,width
price-hist,bar,Private feeder,30.0,0.0,24.0
price-hist,bar,Private feeder,55.0,0.0,24.0
price-hist,bar,Private feeder,80.0,0.005,24.0
price-hist,bar,Private feeder,105.0,0.035,24.0
price-hist,bar,Private feeder,130.0,0.015,24.0
price-hist,bar,Private feeder,155.0,0.003,24.0
price-hist,bar,Private feeder,180.0,0.025,24.0
price-hist,bar,Private feeder,205.0,0.135,24.0
price-hist,bar,Private feeder,230.0,0.28,24.0
price-hist,bar,Private feeder,255.0,0.265,24.0
price-hist,bar,Private feeder,280.0,0.07,24.0
price-hist,bar,Private feeder,305.0,0.03,24.0
price-hist,bar,Private feeder,330.0,0.01,24.0
price-hist,bar,Private feeder,355.0,0.012,24.0
price-hist,bar,Private feeder,380.0,0.04,24.0
price-hist,bar,Private feeder,405.0,0.0,24.0
price-hist,bar,Private feeder,430.0,0.012,24.0
price-hist,bar,Private feeder,455.0,0.008,24.0
price-hist,bar,Private feeder,480.0,0.006,24.0
price-hist,bar,Private feeder,505.0,0.0,24.0
price-hist,bar,Private feeder,530.0,0.005,24.0
price-hist,bar,Private feeder,555.0,0.0,24.0
price-hist,bar,Private feeder,580.0,0.014,24.0
price-hist,bar,Other,30.0,0.0,24.0
price-hist,bar,Other,55.0,0.015,24.0
price-hist,bar,Other,80.0,0.01,24.0
price-hist,bar,Other,105.0,0.04,24.0
price-hist,bar,Other,130.0,0.12,24.0
price-hist,bar,Other,155.0,0.04,24.0
price-hist,bar,Other,180.0,0.065,24.0
price-hist,bar,Other,205.0,0.075,24.0
price-hist,bar,Other,230.0,0.01,24.0
price-hist,bar,Other,255.0,0.25,24.0
price-hist,bar,Other,280.0,0.12,24.0
price-hist,bar,Other,305.0,0.015,24.0
price-hist,bar,Other,330.0,0.01,24.0
price-hist,bar,Other,355.0,0.01,24.0
price-hist,bar,Other,380.0,0.02,24.0
price-hist,bar,Other,405.0,0.005,24.0
price-hist,bar,Other,430.0,0.012,24.0
price-hist,bar,Other,455.0,0.006,24.0
price-hist,bar,Other,480.0,0.005,24.0
price-hist,bar,Other,505.0,0.01,24.0
price-hist,bar,Other,530.0,0.004,24.0
price-hist,bar,Other,555.0,0.018,24.0
price-hist,bar,Other,580.0,0.012,24.0
size-hist,bar,Peer group size,2.0,0.0,0.8
size-hist,bar,Peer group size,3.0,0.001,0.8
size-hist,bar,Peer group size,4.0,0.003,0.8
size-hist,bar,Peer group size,5.0,0.045,0.8
size-hist,bar,Peer group size,6.0,0.07,0.8
size-hist,bar,Peer group size,7.0,0.09,0.8
size-hist,bar,Peer group size,8.0,0.12,0.8
size-hist,bar,Peer group size,9.0,0.155,0.8
size-hist,bar,Peer group size,10.0,0.152,0.8
size-hist,bar,Peer group size,11.0,0.095,0.8
size-hist,bar,Peer group size,12.0,0.105,0.8
size-hist,bar,Peer group size,13.0,0.028,0.8
size-hist,bar,Peer group size,14.0,0.047,0.8
size-hist,bar,Peer group size,15.0,0.028,0.8
size-hist,bar,Peer group size,16.0,0.045,0.8
