panel,group,kind,x,y
All Hotline Calls,White,estimate,0.004693747464978842,0.1506753508817878
All Hotline Calls,White,estimate,0.006332608662801236,0.12871989246797075
All Hotline Calls,White,estimate,0.007323314533368468,0.13216176761354478
All Hotline Calls,White,estimate,0.012890369348887704,0.14822459237695257
All Hotline Calls,White,estimate,0.018506350875653107,0.13850325741632596
All Hotline Calls,White,estimate,0.01886606523903924,0.13442417290402392
All Hotline Calls,White,estimate,0.01993383128697825,0.14250364024733797
All Hotline Calls,White,estimate,0.023147357825309616,0.14173838531051292
All Hotline Calls,White,estimate,0.02665914017986906,0.13980737010119473
All Hotline Calls,White,estimate,0.028403711610847805,0.12098088979809046
All Hotline Calls,White,estimate,0.03141839359829532,0.13750973624391158
All Hotline Calls,White,estimate,0.03300186608479042,0.1352951134587478
All Hotline Calls,White,estimate,0.03344683903517025,0.13920544199676346
All Hotline Calls,White,estimate,0.034136883984164826,0.1376058588652488
All Hotline Calls,White,estimate,0.03656544046291019,0.124487382877343
All Hotline Calls,White,estimate,0.03960493185736409,0.13500745854806054
All Hotline Calls,White,estimate,0.04060720043963674,0.12984839025693795
All Hotline Calls,White,estimate,0.04140455586709536,0.12479548560567155
All Hotline Calls,White,estimate,0.05076449365888422,0.12743189470958086
All Hotline Calls,White,estimate,0.05087927547778745,0.1275589342152431
All Hotline Calls,White,linear,0.0,0.14
All Hotline Calls,White,linear,0.0014423076923076922,0.13971153846153847
All Hotline Calls,White,linear,0.0028846153846153843,0.13942307692307693
All Hotline Calls,White,linear,0.004326923076923076,0.13913461538461538
All Hotline Calls,White,linear,0.005769230769230769,0.13884615384615387
All Hotline Calls,White,linear,0.007211538461538461,0.13855769230769233
All Hotline Calls,White,linear,0.008653846153846153,0.13826923076923078
All Hotline Calls,White,linear,0.010096153846153845,0.13798076923076924
All Hotline Calls,White,linear,0.011538461538461537,0.1376923076923077
All Hotline Calls,White,linear,0.01298076923076923,0.13740384615384615
All Hotline Calls,White,linear,0.014423076923076922,0.13711538461538464
All Hotline Calls,White,linear,0.015865384615384615,0.1368269230769231
All Hotline Calls,White,linear,0.017307692307692305,0.13653846153846155
All Hotline Calls,White,linear,0.01875,0.13625
All Hotline Calls,White,linear,0.02019230769230769,0.13596153846153847
All Hotline Calls,White,linear,0.021634615384615384,0.13567307692307692
All Hotline Calls,White,linear,0.023076923076923075,0.1353846153846154
All Hotline Calls,White,linear,0.024519230769230765,0.13509615384615387
All Hotline Calls,White,linear,0.02596153846153846,0.13480769230769232
All Hotline Calls,White,linear,0.02740384615384615,0.13451923076923078
All Hotline Calls,White,linear,0.028846153846153844,0.13423076923076924
All Hotline Calls,White,linear,0.030288461538461535,0.1339423076923077
All Hotline Calls,White,linear,0.03173076923076923,0.13365384615384618
All Hotline Calls,White,linear,0.03317307692307692,0.13336538461538464
All Hotline Calls,White,linear,0.03461538461538461,0.1330769230769231
All Hotline Calls,White,linear,0.036057692307692304,0.13278846153846155
All Hotline Calls,White,linear,0.0375,0.1325
All Hotline Calls,White,linear,0.038942307692307686,0.13221153846153846
All Hotline Calls,White,linear,0.04038461538461538,0.13192307692307695
All Hotline Calls,White,linear,0.041826923076923074,0.1316346153846154
All Hotline Calls,White,linear,0.04326923076923077,0.13134615384615386
All Hotline Calls,White,linear,0.044711538461538455,0.13105769230769232
All Hotline Calls,White,linear,0.04615384615384615,0.13076923076923078
All Hotline Calls,White,linear,0.047596153846153844,0.13048076923076923
All Hotline Calls,White,linear,0.04903846153846153,0.13019230769230772
All Hotline Calls,White,linear,0.050480769230769225,0.12990384615384618
All Hotline Calls,White,linear,0.05192307692307692,0.12961538461538463
All Hotline Calls,White,linear,0.05336538461538461,0.1293269230769231
All Hotline Calls,White,linear,0.0548076923076923,0.12903846153846155
All Hotline Calls,White,linear,0.056249999999999994,0.12875
All Hotline Calls,White,quadratic,0.0,0.13980224609375003
All Hotline Calls,White,quadratic,0.0014423076923076922,0.13953354694434172
All Hotline Calls,White,quadratic,0.0028846153846153843,0.1392638076691938
All Hotline Calls,White,quadratic,0.004326923076923076,0.1389930282683062
All Hotline Calls,White,quadratic,0.005769230769230769,0.138721208741679
All Hotline Calls,White,quadratic,0.007211538461538461,0.13844834908931214
All Hotline Calls,White,quadratic,0.008653846153846153,0.13817444931120562
All Hotline Calls,White,quadratic,0.010096153846153845,0.13789950940735948
All Hotline Calls,White,quadratic,0.011538461538461537,0.13762352937777367
All Hotline Calls,White,quadratic,0.01298076923076923,0.13734650922244823
All Hotline Calls,White,quadratic,0.014423076923076922,0.13706844894138315
All Hotline Calls,White,quadratic,0.015865384615384615,0.13678934853457841
All Hotline Calls,White,quadratic,0.017307692307692305,0.13650920800203403
All Hotline Calls,White,quadratic,0.01875,0.13622802734375
All Hotline Calls,White,quadratic,0.02019230769230769,0.13594580655972632
All Hotline Calls,White,quadratic,0.021634615384615384,0.13566254564996302
All Hotline Calls,White,quadratic,0.023076923076923075,0.13537824461446007
All Hotline Calls,White,quadratic,0.024519230769230765,0.13509290345321748
All Hotline Calls,White,quadratic,0.02596153846153846,0.13480652216623523
All Hotline Calls,White,quadratic,0.02740384615384615,0.13451910075351334
All Hotline Calls,White,quadratic,0.028846153846153844,0.1342306392150518
All Hotline Calls,White,quadratic,0.030288461538461535,0.1339411375508506
All Hotline Calls,White,quadratic,0.03173076923076923,0.1336505957609098
All Hotline Calls,White,quadratic,0.03317307692307692,0.1333590138452293
All Hotline Calls,White,quadratic,0.03461538461538461,0.1330663918038092
All Hotline Calls,White,quadratic,0.036057692307692304,0.1327727296366494
All Hotline Calls,White,quadratic,0.0375,0.13247802734375
All Hotline Calls,White,quadratic,0.038942307692307686,0.13218228492511094
All Hotline Calls,White,quadratic,0.04038461538461538,0.13188550238073227
All Hotline Calls,White,quadratic,0.041826923076923074,0.13158767971061391
All Hotline Calls,White,quadratic,0.04326923076923077,0.13128881691475594
All Hotline Calls,White,quadratic,0.044711538461538455,0.1309889139931583
All Hotline Calls,White,quadratic,0.04615384615384615,0.13068797094582102
All Hotline Calls,White,quadratic,0.047596153846153844,0.13038598777274407
All Hotline Calls,White,quadratic,0.04903846153846153,0.13008296447392753
All Hotline Calls,White,quadratic,0.050480769230769225,0.12977890104937131
All Hotline Calls,White,quadratic,0.05192307692307692,0.12947379749907545
All Hotline Calls,White,quadratic,0.05336538461538461,0.12916765382303996
All Hotline Calls,White,quadratic,0.0548076923076923,0.1288604700212648
All Hotline Calls,White,quadratic,0.056249999999999994,0.12855224609375002
All Hotline Calls,White,local,0.0,0.14
All Hotline Calls,White,local,0.0014423076923076922,0.13985554708439785
All Hotline Calls,White,local,0.0028846153846153843,0.1397097637536361
All Hotline Calls,White,local,0.004326923076923076,0.13956133188351713
All Hotline Calls,White,local,0.005769230769230769,0.13940895781821777
All Hotline Calls,White,local,0.007211538461538461,0.13925138432165218
All Hotline Calls,White,local,0.008653846153846153,0.13908740219237334
All Hotline Calls,White,local,0.010096153846153845,0.13891586143470921
All Hotline Calls,White,local,0.011538461538461537,0.13873568188292976
All Hotline Calls,White,local,0.01298076923076923,0.1385458631802943
