panel,kind,x,y
"Low exposure, selling",point,28.0,72.0
"Low exposure, selling",point,52.0,32.0
"Low exposure, selling",point,7.0,23.0
"Low exposure, selling",point,11.0,19.0
"Low exposure, selling",point,30.0,21.0
"Low exposure, selling",point,5.0,27.0
"Low exposure, selling",point,13.0,23.0
"Low exposure, selling",point,23.0,9.0
"Low exposure, selling",point,34.0,33.0
"Low exposure, selling",point,12.0,19.0
"Low exposure, selling",point,48.0,24.0
"Low exposure, selling",point,21.0,23.0
"Low exposure, selling",point,14.0,39.0
"Low exposure, selling",point,32.0,27.0
"Low exposure, selling",point,12.0,17.0
"Low exposure, selling",point,37.0,45.0
"Low exposure, selling",point,15.0,28.0
"Low exposure, selling",point,13.0,19.0
"Low exposure, selling",point,5.0,18.0
"Low exposure, selling",point,15.0,44.0
"Low exposure, selling",point,12.0,27.0
"Low exposure, selling",point,30.0,36.0
"Low exposure, selling",point,10.0,9.0
"Low exposure, selling",point,38.0,41.0
"Low exposure, selling",point,24.0,18.0
"Low exposure, selling",point,27.0,19.0
"Low exposure, selling",point,29.0,34.0
"Low exposure, selling",point,16.0,10.0
"Low exposure, selling",point,27.0,33.0
"Low exposure, selling",point,18.0,22.0
"Low exposure, selling",point,34.0,17.0
"Low exposure, selling",point,5.0,12.0
"Low exposure, selling",point,18.0,20.0
"Low exposure, selling",point,13.0,13.0
"Low exposure, selling",point,41.0,36.0
"Low exposure, selling",point,5.0,4.0
"Low exposure, selling",point,25.0,32.0
"Low exposure, selling",point,23.0,25.0
"Low exposure, selling",point,28.0,14.0
"Low exposure, selling",point,41.0,31.0
"Low exposure, selling",point,16.0,10.0
"Low exposure, selling",point,11.0,13.0
"Low exposure, selling",point,5.0,31.0
"Low exposure, selling",point,5.0,15.0
"Low exposure, selling",point,39.0,33.0
"Low exposure, selling",point,21.0,17.0
"Low exposure, selling",point,5.0,12.0
"Low exposure, selling",point,21.0,29.0
"Low exposure, selling",point,29.0,15.0
"Low exposure, selling",point,15.0,8.0
"Low exposure, selling",point,30.0,30.0
"Low exposure, selling",point,25.0,23.0
"Low exposure, selling",point,14.0,15.0
"Low exposure, selling",point,28.0,26.0
"Low exposure, selling",point,14.0,44.0
"Low exposure, selling",point,24.0,16.0
"Low exposure, selling",point,5.0,3.0
"Low exposure, selling",point,5.0,12.0
"Low exposure, selling",point,13.0,14.0
"Low exposure, selling",point,11.0,9.0
