panel_order,row_group,gamma,position,component,component_order,share
1,without risk-free rate,2,-2.0,Allocation 1,1,1.0
1,without risk-free rate,2,-2.0,Allocation 2,2,0.0
1,without risk-free rate,2,-2.0,Allocation 3,3,0.0
1,without risk-free rate,2,-1.714,Allocation 1,1,1.0
1,without risk-free rate,2,-1.714,Allocation 2,2,0.0
1,without risk-free rate,2,-1.714,Allocation 3,3,0.0
1,without risk-free rate,2,-1.429,Allocation 1,1,1.0
1,without risk-free rate,2,-1.429,Allocation 2,2,0.0
1,without risk-free rate,2,-1.429,Allocation 3,3,0.0
1,without risk-free rate,2,-1.143,Allocation 1,1,0.86
1,without risk-free rate,2,-1.143,Allocation 2,2,0.0
1,without risk-free rate,2,-1.143,Allocation 3,3,0.14
1,without risk-free rate,2,-0.857,Allocation 1,1,0.14
1,without risk-free rate,2,-0.857,Allocation 2,2,0.0
1,without risk-free rate,2,-0.857,Allocation 3,3,0.86
1,without risk-free rate,2,-0.571,Allocation 1,1,0.0
1,without risk-free rate,2,-0.571,Allocation 2,2,0.0
1,without risk-free rate,2,-0.571,Allocation 3,3,1.0
1,without risk-free rate,2,-0.286,Allocation 1,1,0.0
1,without risk-free rate,2,-0.286,Allocation 2,2,0.0
1,without risk-free rate,2,-0.286,Allocation 3,3,1.0
1,without risk-free rate,2,0.0,Allocation 1,1,0.0
1,without risk-free rate,2,0.0,Allocation 2,2,0.0
1,without risk-free rate,2,0.0,Allocation 3,3,1.0
1,without risk-free rate,2,0.286,Allocation 1,1,0.0
1,without risk-free rate,2,0.286,Allocation 2,2,0.0
1,without risk-free rate,2,0.286,Allocation 3,3,1.0
1,without risk-free rate,2,0.571,Allocation 1,1,0.0
1,without risk-free rate,2,0.571,Allocation 2,2,0.0
1,without risk-free rate,2,0.571,Allocation 3,3,1.0
1,without risk-free rate,2,0.857,Allocation 1,1,0.0
1,without risk-free rate,2,0.857,Allocation 2,2,0.0
1,without risk-free rate,2,0.857,Allocation 3,3,1.0
1,without risk-free rate,2,1.143,Allocation 1,1,0.0
1,without risk-free rate,2,1.143,Allocation 2,2,0.0
1,without risk-free rate,2,1.143,Allocation 3,3,1.0
1,without risk-free rate,2,1.429,Allocation 1,1,0.0
1,without risk-free rate,2,1.429,Allocation 2,2,0.0
1,without risk-free rate,2,1.429,Allocation 3,3,1.0
1,without risk-free rate,2,1.714,Allocation 1,1,0.0
1,without risk-free rate,2,1.714,Allocation 2,2,0.0
1,without risk-free rate,2,1.714,Allocation 3,3,1.0
1,without risk-free rate,2,2.0,Allocation 1,1,0.0
1,without risk-free rate,2,2.0,Allocation 2,2,0.0
1,without risk-free rate,2,2.0,Allocation 3,3,1.0
2,without risk-free rate,5,-2.0,Allocation 1,1,1.0
2,without risk-free rate,5,-2.0,Allocation 2,2,0.0
2,without risk-free rate,5,-2.0,Allocation 3,3,0.0
2,without risk-free rate,5,-1.714,Allocation 1,1,1.0
2,without risk-free rate,5,-1.714,Allocation 2,2,0.0
2,without risk-free rate,5,-1.714,Allocation 3,3,0.0
2,without risk-free rate,5,-1.429,Allocation 1,1,1.0
2,without risk-free rate,5,-1.429,Allocation 2,2,0.0
2,without risk-free rate,5,-1.429,Allocation 3,3,0.0
2,without risk-free rate,5,-1.143,Allocation 1,1,0.96
2,without risk-free rate,5,-1.143,Allocation 2,2,0.0
2,without risk-free rate,5,-1.143,Allocation 3,3,0.04
2,without risk-free rate,5,-0.857,Allocation 1,1,0.67
2,without risk-free rate,5,-0.857,Allocation 2,2,0.0
2,without risk-free rate,5,-0.857,Allocation 3,3,0.33
2,without risk-free rate,5,-0.571,Allocation 1,1,0.28
2,without risk-free rate,5,-0.571,Allocation 2,2,0.04
2,without risk-free rate,5,-0.571,Allocation 3,3,0.68
2,without risk-free rate,5,-0.286,Allocation 1,1,0.01
2,without risk-free rate,5,-0.286,Allocation 2,2,0.05
2,without risk-free rate,5,-0.286,Allocation 3,3,0.94
2,without risk-free rate,5,0.0,Allocation 1,1,0.0
2,without risk-free rate,5,0.0,Allocation 2,2,0.0
2,without risk-free rate,5,0.0,Allocation 3,3,1.0
2,without risk-free rate,5,0.286,Allocation 1,1,0.0
2,without risk-free rate,5,0.286,Allocation 2,2,0.0
2,without risk-free rate,5,0.286,Allocation 3,3,1.0
2,without risk-free rate,5,0.571,Allocation 1,1,0.0
2,without risk-free rate,5,0.571,Allocation 2,2,0.0
2,without risk-free rate,5,0.571,Allocation 3,3,1.0
2,without risk-free rate,5,0.857,Allocation 1,1,0.0
2,without risk-free rate,5,0.857,Allocation 2,2,0.0
2,without risk-free rate,5,0.857,Allocation 3,3,1.0
2,without risk-free rate,5,1.143,Allocation 1,1,0.0
2,without risk-free rate,5,1.143,Allocation 2,2,0.0
2,without risk-free rate,5,1.143,Allocation 3,3,1.0
2,without risk-free rate,5,1.429,Allocation 1,1,0.0
2,without risk-free rate,5,1.429,Allocation 2,2,0.0
2,without risk-free rate,5,1.429,Allocation 3,3,1.0
2,without risk-free rate,5,1.714,Allocation 1,1,0.0
2,without risk-free rate,5,1.714,Allocation 2,2,0.0
2,without risk-free rate,5,1.714,Allocation 3,3,1.0
2,without risk-free rate,5,2.0,Allocation 1,1,0.01
2,without risk-free rate,5,2.0,Allocation 2,2,0.14
2,without risk-free rate,5,2.0,Allocation 3,3,0.85
3,without risk-free rate,10,-2.0,Allocation 1,1,1.0
3,without risk-free rate,10,-2.0,Allocation 2,2,0.0
3,without risk-free rate,10,-2.0,Allocation 3,3,0.0
3,without risk-free rate,10,-1.714,Allocation 1,1,1.0
3,without risk-free rate,10,-1.714,Allocation 2,2,0.0
3,without risk-free rate,10,-1.714,Allocation 3,3,0.0
3,without risk-free rate,10,-1.429,Allocation 1,1,1.0
3,without risk-free rate,10,-1.429,Allocation 2,2,0.0
3,without risk-free rate,10,-1.429,Allocation 3,3,0.0
3,without risk-free rate,10,-1.143,Allocation 1,1,0.99
3,without risk-free rate,10,-1.143,Allocation 2,2,0.0
3,without risk-free rate,10,-1.143,Allocation 3,3,0.01
3,without risk-free rate,10,-0.857,Allocation 1,1,0.84
3,without risk-free rate,10,-0.857,Allocation 2,2,0.0
3,without risk-free rate,10,-0.857,Allocation 3,3,0.16
3,without risk-free rate,10,-0.571,Allocation 1,1,0.65
3,without risk-free rate,10,-0.571,Allocation 2,2,0.02
3,without risk-free rate,10,-0.571,Allocation 3,3,0.33
3,without risk-free rate,10,-0.286,Allocation 1,1,0.4
3,without risk-free rate,10,-0.286,Allocation 2,2,0.12
3,without risk-free rate,10,-0.286,Allocation 3,3,0.48
3,without risk-free rate,10,0.0,Allocation 1,1,0.22
3,without risk-free rate,10,0.0,Allocation 2,2,0.16
3,without risk-free rate,10,0.0,Allocation 3,3,0.62
3,without risk-free rate,10,0.286,Allocation 1,1,0.13
3,without risk-free rate,10,0.286,Allocation 2,2,0.16
3,without risk-free rate,10,0.286,Allocation 3,3,0.71
3,without risk-free rate,10,0.571,Allocation 1,1,0.1
3,without risk-free rate,10,0.571,Allocation 2,2,0.15
3,without risk-free rate,10,0.571,Allocation 3,3,0.75
3,without risk-free rate,10,0.857,Allocation 1,1,0.1
3,without risk-free rate,10,0.857,Allocation 2,2,0.14
3,without risk-free rate,10,0.857,Allocation 3,3,0.76
3,without risk-free rate,10,1.143,Allocation 1,1,0.12
3,without risk-free rate,10,1.143,Allocation 2,2,0.16
3,without risk-free rate,10,1.143,Allocation 3,3,0.72
3,without risk-free rate,10,1.429,Allocation 1,1,0.14
3,without risk-free rate,10,1.429,Allocation 2,2,0.2
3,without risk-free rate,10,1.429,Allocation 3,3,0.66
3,without risk-free rate,10,1.714,Allocation 1,1,0.14
3,without risk-free rate,10,1.714,Allocation 2,2,0.28
3,without risk-free rate,10,1.714,Allocation 3,3,0.58
3,without risk-free rate,10,2.0,Allocation 1,1,0.11
3,without risk-free rate,10,2.0,Allocation 2,2,0.38
3,without risk-free rate,10,2.0,Allocation 3,3,0.51
4,without risk-free rate,20,-2.0,Allocation 1,1,1.0
4,without risk-free rate,20,-2.0,Allocation 2,2,0.0
4,without risk-free rate,20,-2.0,Allocation 3,3,0.0
4,without risk-free rate,20,-1.714,Allocation 1,1,1.0
4,without risk-free rate,20,-1.714,Allocation 2,2,0.0
4,without risk-free rate,20,-1.714,Allocation 3,3,0.0
4,without risk-free rate,20,-1.429,Allocation 1,1,1.0
4,without risk-free rate,20,-1.429,Allocation 2,2,0.0
4,without risk-free rate,20,-1.429,Allocation 3,3,0.0
4,without risk-free rate,20,-1.143,Allocation 1,1,1.0
4,without risk-free rate,20,-1.143,Allocation 2,2,0.0
4,without risk-free rate,20,-1.143,Allocation 3,3,0.0
4,without risk-free rate,20,-0.857,Allocation 1,1,0.93
4,without risk-free rate,20,-0.857,Allocation 2,2,0.0
4,without risk-free rate,20,-0.857,Allocation 3,3,0.07
4,without risk-free rate,20,-0.571,Allocation 1,1,0.84
4,without risk-free rate,20,-0.571,Allocation 2,2,0.0
4,without risk-free rate,20,-0.571,Allocation 3,3,0.16
4,without risk-free rate,20,-0.286,Allocation 1,1,0.72
4,without risk-free rate,20,-0.286,Allocation 2,2,0.05
4,without risk-free rate,20,-0.286,Allocation 3,3,0.23
4,without risk-free rate,20,0.0,Allocation 1,1,0.63
4,without risk-free rate,20,0.0,Allocation 2,2,0.07
4,without risk-free rate,20,0.0,Allocation 3,3,0.3
4,without risk-free rate,20,0.286,Allocation 1,1,0.58
4,without risk-free rate,20,0.286,Allocation 2,2,0.08
4,without risk-free rate,20,0.286,Allocation 3,3,0.34
4,without risk-free rate,20,0.571,Allocation 1,1,0.56
4,without risk-free rate,20,0.571,Allocation 2,2,0.07
4,without risk-free rate,20,0.571,Allocation 3,3,0.37
4,without risk-free rate,20,0.857,Allocation 1,1,0.56
4,without risk-free rate,20,0.857,Allocation 2,2,0.07
4,without risk-free rate,20,0.857,Allocation 3,3,0.37
4,without risk-free rate,20,1.143,Allocation 1,1,0.58
4,without risk-free rate,20,1.143,Allocation 2,2,0.07
4,without risk-free rate,20,1.143,Allocation 3,3,0.35
4,without risk-free rate,20,1.429,Allocation 1,1,0.59
4,without risk-free rate,20,1.429,Allocation 2,2,0.1
4,without risk-free rate,20,1.429,Allocation 3,3,0.31
4,without risk-free rate,20,1.714,Allocation 1,1,0.58
4,without risk-free rate,20,1.714,Allocation 2,2,0.14
4,without risk-free rate,20,1.714,Allocation 3,3,0.28
4,without risk-free rate,20,2.0,Allocation 1,1,0.57
4,without risk-free rate,20,2.0,Allocation 2,2,0.19
4,without risk-free rate,20,2.0,Allocation 3,3,0.24
5,with risk-free rate,2,-2.0,Allocation 1,1,1.0
5,with risk-free rate,2,-2.0,Allocation 2,2,0.0
5,with risk-free rate,2,-2.0,Allocation 3,3,0.0
5,with risk-free rate,2,-1.714,Allocation 1,1,1.0
5,with risk-free rate,2,-1.714,Allocation 2,2,0.0
5,with risk-free rate,2,-1.714,Allocation 3,3,0.0
5,with risk-free rate,2,-1.429,Allocation 1,1,0.77
5,with risk-free rate,2,-1.429,Allocation 2,2,0.0
5,with risk-free rate,2,-1.429,Allocation 3,3,0.23
5,with risk-free rate,2,-1.143,Allocation 1,1,0.34
5,with risk-free rate,2,-1.143,Allocation 2,2,0.0
5,with risk-free rate,2,-1.143,Allocation 3,3,0.66
5,with risk-free rate,2,-0.857,Allocation 1,1,0.0
5,with risk-free rate,2,-0.857,Allocation 2,2,0.0
5,with risk-free rate,2,-0.857,Allocation 3,3,1.0
5,with risk-free rate,2,-0.571,Allocation 1,1,0.0
5,with risk-free rate,2,-0.571,Allocation 2,2,0.0
5,with risk-free rate,2,-0.571,Allocation 3,3,1.0
5,with risk-free rate,2,-0.286,Allocation 1,1,0.0
5,with risk-free rate,2,-0.286,Allocation 2,2,0.0
5,with risk-free rate,2,-0.286,Allocation 3,3,1.0
5,with risk-free rate,2,0.0,Allocation 1,1,0.0
5,with risk-free rate,2,0.0,Allocation 2,2,0.0
5,with risk-free rate,2,0.0,Allocation 3,3,1.0
5,with risk-free rate,2,0.286,Allocation 1,1,0.0
