order,year,series,bottom,top,display
0,2000,pES,0.0,0.02,
0,2000,pEI,0.02,0.34,29.96%
0,2000,pIS,0.34,0.4,
0,2000,pED,0.4,1.06,57.40%
0,2000,IPE,1.06,1.1600000000000001,
1,2001,pES,0.0,0.025,
1,2001,pEI,0.025,0.325,27.37%
1,2001,pIS,0.325,0.395,
1,2001,pED,0.395,1.085,56.54%
1,2001,IPE,1.085,1.2,
2,2002,pES,0.0,0.045,
2,2002,pEI,0.045,0.445,31.32%
2,2002,pIS,0.445,0.465,
2,2002,pED,0.465,1.165,53.59%
2,2002,IPE,1.165,1.3050000000000002,
3,2003,pES,0.0,0.11,
3,2003,pEI,0.11,0.11,
3,2003,pIS,0.11,0.16,
3,2003,pED,0.16,1.15,69.12%
3,2003,IPE,1.15,1.46,
4,2004,pES,0.0,0.115,
4,2004,pEI,-0.35,0.0,−22.64%
4,2004,pIS,0.115,0.235,
4,2004,pED,0.235,1.745,98.72%
4,2004,IPE,1.745,1.8550000000000002,
5,2005,pES,0.0,0.16,
5,2005,pEI,-0.47,0.0,−28.41%
5,2005,pIS,0.16,0.305,
5,2005,pED,0.305,2.035,101.82%
5,2005,IPE,2.035,2.1550000000000002,
6,2006,pES,0.0,0.06,
6,2006,pEI,0.06,0.2,
6,2006,pIS,0.2,0.32,
6,2006,pED,0.32,1.6900000000000002,75.03%
6,2006,IPE,1.6900000000000002,1.8050000000000002,
7,2007,pES,0.0,0.07,
7,2007,pEI,0.07,0.25,
7,2007,pIS,0.25,0.365,
7,2007,pED,0.365,1.805,74.37%
7,2007,IPE,1.805,1.9249999999999998,
8,2008,pES,0.0,0.065,
8,2008,pEI,0.065,0.255,
8,2008,pIS,0.255,0.355,
8,2008,pED,0.355,1.855,75.12%
8,2008,IPE,1.855,1.9849999999999999,
9,2009,pES,0.0,0.095,
9,2009,pEI,0.095,0.255,
9,2009,pIS,0.255,0.335,
9,2009,pED,0.335,1.855,75.97%
9,2009,IPE,1.855,1.995,
10,2010,pES,0.0,0.15,
10,2010,pEI,0.15,0.31,
10,2010,pIS,0.31,0.365,
10,2010,pED,0.365,1.895,73.67%
10,2010,IPE,1.895,2.07,
11,2011,pES,0.0,0.12,
11,2011,pEI,0.12,0.36,
11,2011,pIS,0.36,0.40499999999999997,
11,2011,pED,0.40499999999999997,2.005,71.72%
11,2011,IPE,2.005,2.165,
12,2012,pES,0.0,0.16,
12,2012,pEI,0.16,0.49,
12,2012,pIS,0.49,0.53,
12,2012,pED,0.53,2.16,69.43%
12,2012,IPE,2.16,2.3400000000000003,
13,2013,pES,0.0,0.13,
13,2013,pEI,0.13,0.5800000000000001,19.06%
13,2013,pIS,0.5800000000000001,0.6200000000000001,
13,2013,pED,0.6200000000000001,2.2,65.80%
13,2013,IPE,2.2,2.39,
14,2014,pES,0.0,0.17,
14,2014,pEI,0.17,0.6950000000000001,23.32%
14,2014,pIS,0.6950000000000001,0.7450000000000001,
14,2014,pED,0.7450000000000001,2.1950000000000003,60.06%
14,2014,IPE,2.1950000000000003,2.3200000000000003,
15,2015,pES,0.0,0.215,
15,2015,pEI,0.215,0.825,26.10%
15,2015,pIS,0.825,0.875,
15,2015,pED,0.875,2.2350000000000003,56.73%
15,2015,IPE,2.2350000000000003,2.37,
16,2016,pES,0.0,0.215,
16,2016,pEI,0.215,0.865,27.64%
16,2016,pIS,0.865,0.92,
16,2016,pED,0.92,2.21,54.57%
16,2016,IPE,2.21,2.355,
17,2017,pES,0.0,0.215,
17,2017,pEI,0.215,0.9149999999999999,29.37%
17,2017,pIS,0.9149999999999999,0.96,
17,2017,pED,0.96,2.21,52.54%
17,2017,IPE,2.21,2.36,
