year,order,level,start,end,display,color
2000,0,1.1364,0.0,1.1364,1.1364,#b91118
2001,1,1.1923,1.1364,1.1923,+0.0559,#747514
2002,2,1.296,1.1923,1.296,+0.1038,#006086
2003,3,1.4345,1.296,1.4345,+0.1385,#0c7811
2004,4,1.5312,1.4345,1.5312,+0.0966,#c9151c
2005,5,1.6853,1.5312,1.6853,+0.1541,#9b9e18
2006,6,1.8157,1.6853,1.8157,+0.1303,#087194
2007,7,1.9336,1.8157,1.9336,+0.1180,#068409
2008,8,1.9739,1.9336,1.9739,+0.0403,#ed7379
2009,9,2.0049,1.9739,2.0049,+0.0310,#efba83
2010,10,2.0788,2.0049,2.0788,+0.0739,#53b9e6
2011,11,2.2273,2.0788,2.2273,+0.1485,#b9e880
2012,12,2.3346,2.2273,2.3346,+0.1073,#f38e8e
2013,13,2.3814,2.3346,2.3814,+0.0468,#bd62e3
2014,14,2.2737,2.3814,2.2737,−0.1077,#83cbea
2015,15,2.3251,2.2737,2.3251,+0.0514,#9596e8
2016,16,2.3545,2.3251,2.3545,+0.0294,#edbdc1
2017,17,2.3688,2.3545,2.3688,+0.0124,#eb83c3
